Model Type,Neighborhood Size,Time Step,Mean Entropy,Std Entropy,N Samples
Mixture NCA,3,31,1.1670756340026855,0.19728903472423553,20
Mixture NCA,3,32,1.1648592948913574,0.19826744496822357,20
Mixture NCA,3,33,1.1626431941986084,0.20049497485160828,20
Mixture NCA,3,34,1.1611319780349731,0.2015758901834488,20
Mixture NCA,3,35,1.1601245403289795,0.20266391336917877,20
Mixture NCA,3,36,1.1594195365905762,0.20363090932369232,20
Mixture NCA,3,37,1.1588150262832642,0.20456844568252563,20
Mixture NCA,3,38,1.15780770778656,0.20515891909599304,20
Mixture NCA,3,39,1.1578075885772705,0.20561151206493378,20
Mixture NCA,3,40,1.1576061248779297,0.20619428157806396,20
Mixture NCA,3,41,1.1571025848388672,0.2069043666124344,20
Mixture NCA,3,42,1.156699538230896,0.2073509842157364,20
Mixture NCA,3,43,1.1564981937408447,0.20754970610141754,20
Mixture NCA,3,44,1.156095027923584,0.2083253115415573,20
Mixture NCA,3,45,1.1552891731262207,0.20888552069664001,20
Mixture NCA,3,46,1.154785394668579,0.2093696892261505,20
Mixture NCA,3,47,1.154987096786499,0.20877811312675476,20
Mixture NCA,3,48,1.1541810035705566,0.209140807390213,20
Mixture NCA,3,49,1.1534758806228638,0.2094697505235672,20
Mixture NCA,3,50,1.1529721021652222,0.2097005993127823,20
Mixture NCA,3,51,1.1525691747665405,0.20962083339691162,20
Mixture NCA,3,52,1.1524684429168701,0.2095554918050766,20
Mixture NCA,3,53,1.1521663665771484,0.2095402479171753,20
Mixture NCA,3,54,1.1523678302764893,0.20934855937957764,20
Mixture NCA,3,55,1.1523678302764893,0.20961016416549683,20
Mixture NCA,3,56,1.152065634727478,0.209710955619812,20
Mixture NCA,3,57,1.1523678302764893,0.20969922840595245,20
Mixture NCA,3,58,1.1521663665771484,0.2094414383172989,20
Mixture NCA,3,59,1.1520655155181885,0.20963159203529358,20
Mixture NCA,3,60,1.1521663665771484,0.2095693051815033,20
Mixture NCA,3,61,1.1517634391784668,0.2093619406223297,20
Mixture NCA,3,62,1.1517633199691772,0.2096487283706665,20
Mixture NCA,3,63,1.1518640518188477,0.20997938513755798,20
Mixture NCA,3,64,1.1515618562698364,0.20988209545612335,20
Mixture NCA,3,65,1.1514610052108765,0.20966151356697083,20
Mixture NCA,3,66,1.1518641710281372,0.20986142754554749,20
Mixture NCA,3,67,1.151561975479126,0.2099410891532898,20
Mixture NCA,3,68,1.1516625881195068,0.20937564969062805,20
Mixture NCA,3,69,1.1511589288711548,0.21004624664783478,20
Mixture NCA,3,70,1.1505545377731323,0.21061483025550842,20
Mixture NCA,3,71,1.1502522230148315,0.21069903671741486,20
Mixture NCA,3,72,1.1497485637664795,0.21084192395210266,20
Mixture NCA,3,73,1.1493456363677979,0.21097297966480255,20
Mixture NCA,3,74,1.149245023727417,0.2101893275976181,20
Mixture NCA,3,75,1.1488419771194458,0.21077772974967957,20
Mixture NCA,3,76,1.1487411260604858,0.21066471934318542,20
Mixture NCA,3,77,1.1476330757141113,0.21093636751174927,20
Mixture NCA,3,78,1.1473307609558105,0.2110864818096161,20
Mixture NCA,3,79,1.1471292972564697,0.2108553946018219,20
Mixture NCA,3,80,1.146827220916748,0.21040572226047516,20
Mixture NCA,3,81,1.1466256380081177,0.2109166532754898,20
Mixture NCA,3,82,1.1460211277008057,0.21103276312351227,20
Mixture NCA,3,83,1.1462228298187256,0.21095898747444153,20
Mixture NCA,3,84,1.1463234424591064,0.21086619794368744,20
Mixture NCA,3,85,1.1460211277008057,0.2111654430627823,20
Mixture NCA,3,86,1.1459205150604248,0.2110118865966797,20
Mixture NCA,3,87,1.145618200302124,0.21115565299987793,20
Mixture NCA,3,88,1.1458197832107544,0.21084658801555634,20
Mixture NCA,3,89,1.146121859550476,0.21104978024959564,20
Mixture NCA,3,90,1.1459203958511353,0.2111416757106781,20
Mixture NCA,3,91,1.1460211277008057,0.21105778217315674,20
Mixture NCA,3,92,1.1459203958511353,0.21102149784564972,20
Mixture NCA,3,93,1.1459205150604248,0.21089354157447815,20
Mixture NCA,3,94,1.1458197832107544,0.21084852516651154,20
Mixture NCA,3,95,1.1459205150604248,0.21115227043628693,20
Mixture NCA,3,96,1.1458196640014648,0.21096687018871307,20
Mixture NCA,3,97,1.1458197832107544,0.21122746169567108,20
Mixture NCA,3,98,1.1459203958511353,0.21129930019378662,20
Mixture NCA,3,99,1.1454167366027832,0.21174705028533936,20
Mixture NCA,3,100,1.1454167366027832,0.2115657925605774,20
Stochastic Mixture NCA,3,0,1.8021328449249268,0.012442367151379585,20
Stochastic Mixture NCA,3,1,1.779077172279358,0.018794221803545952,20
Stochastic Mixture NCA,3,2,1.747553825378418,0.025804484263062477,20
Stochastic Mixture NCA,3,3,1.707869529724121,0.03251431882381439,20
Stochastic Mixture NCA,3,4,1.662473440170288,0.04043038189411163,20
Stochastic Mixture NCA,3,5,1.6180979013442993,0.0463448129594326,20
Stochastic Mixture NCA,3,6,1.5771907567977905,0.05090167000889778,20
Stochastic Mixture NCA,3,7,1.5410784482955933,0.0541091114282608,20
Stochastic Mixture NCA,3,8,1.5086387395858765,0.057323142886161804,20
Stochastic Mixture NCA,3,9,1.4780350923538208,0.0630897656083107,20
Stochastic Mixture NCA,3,10,1.4501858949661255,0.06963969767093658,20
Stochastic Mixture NCA,3,11,1.4238667488098145,0.07801935076713562,20
Stochastic Mixture NCA,3,12,1.3985679149627686,0.08471406251192093,20
Stochastic Mixture NCA,3,13,1.374084711074829,0.09074269980192184,20
Stochastic Mixture NCA,3,14,1.3508260250091553,0.09995035082101822,20
Stochastic Mixture NCA,3,15,1.3290975093841553,0.10907331854104996,20
Stochastic Mixture NCA,3,16,1.30910325050354,0.119394950568676,20
Stochastic Mixture NCA,3,17,1.2915571928024292,0.12858480215072632,20
Stochastic Mixture NCA,3,18,1.2759493589401245,0.13762933015823364,20
Stochastic Mixture NCA,3,19,1.2613614797592163,0.14731816947460175,20
Stochastic Mixture NCA,3,20,1.2466717958450317,0.15696999430656433,20
Stochastic Mixture NCA,3,21,1.2333080768585205,0.16642235219478607,20
Stochastic Mixture NCA,3,22,1.2220869064331055,0.17477571964263916,20
Stochastic Mixture NCA,3,23,1.2122938632965088,0.18171946704387665,20
Stochastic Mixture NCA,3,24,1.2045409679412842,0.18745186924934387,20
Stochastic Mixture NCA,3,25,1.1993381977081299,0.1910027116537094,20
Stochastic Mixture NCA,3,26,1.1951557397842407,0.19344137609004974,20
Stochastic Mixture NCA,3,27,1.1914832592010498,0.1954585164785385,20
Stochastic Mixture NCA,3,28,1.1885249614715576,0.19734694063663483,20
Stochastic Mixture NCA,3,29,1.186280608177185,0.19860099256038666,20
Stochastic Mixture NCA,3,30,1.1840364933013916,0.19896087050437927,20
Stochastic Mixture NCA,3,31,1.181894063949585,0.19978536665439606,20
Stochastic Mixture NCA,3,32,1.179649829864502,0.20077620446681976,20
Stochastic Mixture NCA,3,33,1.177405595779419,0.20303189754486084,20
Stochastic Mixture NCA,3,34,1.1758754253387451,0.2041265070438385,20
Stochastic Mixture NCA,3,35,1.1748552322387695,0.2052282989025116,20
Stochastic Mixture NCA,3,36,1.1741411685943604,0.2062075287103653,20
Stochastic Mixture NCA,3,37,1.173529028892517,0.20715691149234772,20
Stochastic Mixture NCA,3,38,1.172508955001831,0.20775486528873444,20
Stochastic Mixture NCA,3,39,1.172508955001831,0.2082131803035736,20
Stochastic Mixture NCA,3,40,1.1723049879074097,0.20880329608917236,20
Stochastic Mixture NCA,3,41,1.1717948913574219,0.20952235162258148,20
Stochastic Mixture NCA,3,42,1.171386957168579,0.20997461676597595,20
Stochastic Mixture NCA,3,43,1.1711828708648682,0.21017585694789886,20
Stochastic Mixture NCA,3,44,1.1707748174667358,0.210961252450943,20
Stochastic Mixture NCA,3,45,1.1699587106704712,0.21152853965759277,20
Stochastic Mixture NCA,3,46,1.1694486141204834,0.21201883256435394,20
Stochastic Mixture NCA,3,47,1.1696527004241943,0.21141976118087769,20
Stochastic Mixture NCA,3,48,1.1688365936279297,0.21178707480430603,20
Stochastic Mixture NCA,3,49,1.1681225299835205,0.2121201902627945,20
Stochastic Mixture NCA,3,50,1.1676124334335327,0.21235394477844238,20
Stochastic Mixture NCA,3,51,1.1672043800354004,0.21227316558361053,20
Stochastic Mixture NCA,3,52,1.1671024560928345,0.21220700442790985,20
Stochastic Mixture NCA,3,53,1.1667964458465576,0.21219158172607422,20
Stochastic Mixture NCA,3,54,1.1670005321502686,0.21199744939804077,20
Stochastic Mixture NCA,3,55,1.167000412940979,0.2122623324394226,20
Stochastic Mixture NCA,3,56,1.1666944026947021,0.21236442029476166,20
Stochastic Mixture NCA,3,57,1.167000412940979,0.21235251426696777,20
Stochastic Mixture NCA,3,58,1.166796326637268,0.21209149062633514,20
Stochastic Mixture NCA,3,59,1.1666944026947021,0.21228405833244324,20
Stochastic Mixture NCA,3,60,1.1667964458465576,0.21222099661827087,20
Stochastic Mixture NCA,3,61,1.1663882732391357,0.21201103925704956,20
Stochastic Mixture NCA,3,62,1.1663882732391357,0.21230141818523407,20
