Model Type,Neighborhood Size,Step Length,Evaluation,Simulation,KL Divergence,Chi-Square,Categorical MMD,Tumor Size Diff,Border Size Diff,Spatial Variance Diff
Mixture NCA,3,25,0,0,0.013921841979026794,0.014076336286962032,0.5533332824707031,0.2614854872226715,0.24025627970695496,0.23571781814098358
Mixture NCA,3,25,0,1,0.025416260585188866,0.02370130456984043,0.5444444417953491,0.483251690864563,0.3103310167789459,0.6130253076553345
Mixture NCA,3,25,0,2,0.010086007416248322,0.01012195460498333,0.7422221899032593,0.7480471134185791,0.3403630554676056,0.644316554069519
Mixture NCA,3,25,0,3,0.012113910168409348,0.011738582514226437,0.2799999713897705,0.08936846256256104,0.04004271328449249,0.07999294996261597
Mixture NCA,3,25,0,4,0.017919838428497314,0.01789831556379795,0.9244444370269775,0.8043161630630493,0.11011746525764465,0.64966881275177
Mixture NCA,3,25,0,5,0.015724658966064453,0.015645436942577362,0.4444444179534912,0.32106447219848633,0.2903096675872803,0.3587368130683899
Mixture NCA,3,25,0,6,0.033646050840616226,0.032986097037792206,0.466666579246521,0.11253806203603745,0.06006406992673874,0.17178229987621307
Mixture NCA,3,25,0,7,0.02655196562409401,0.026178976520895958,0.5533332824707031,0.5660002827644348,0.45048052072525024,0.6154493093490601
Mixture NCA,3,25,0,8,0.02508644014596939,0.023029454052448273,0.6177777051925659,0.5792400240898132,0.3003203570842743,0.5720787048339844
Mixture NCA,3,25,0,9,0.028451398015022278,0.026966672390699387,0.5199999809265137,0.4964914619922638,0.37039509415626526,0.564852774143219
Mixture NCA,3,25,0,10,0.010648157447576523,0.010440818965435028,0.3466665744781494,0.07281874865293503,0.050053391605615616,0.058233652263879776
Mixture NCA,3,25,0,11,0.046432748436927795,0.043081603944301605,0.6822222471237183,0.6090295314788818,0.49052324891090393,0.8941584825515747
Mixture NCA,3,25,0,12,0.028423037379980087,0.027442513033747673,0.3222222328186035,0.16549715399742126,0.2102242410182953,0.17625215649604797
Mixture NCA,3,25,0,13,0.033387862145900726,0.033366553485393524,0.42888879776000977,0.2978948652744293,0.2202349305152893,0.23794281482696533
Mixture NCA,3,25,0,14,0.024978406727313995,0.024352476000785828,0.6177777051925659,0.08936846256256104,0.1701815277338028,0.24077622592449188
Mixture NCA,3,25,0,15,0.021504994481801987,0.02120199427008629,0.5,0.41374287009239197,0.1701815277338028,0.3937534689903259
Mixture NCA,3,25,0,16,0.001964811235666275,0.0019795307889580727,0.5355554819107056,0.37733349204063416,0.15016017854213715,0.3514101803302765
Mixture NCA,3,25,0,17,0.024382121860980988,0.023957623168826103,0.5688889026641846,0.4501522481441498,0.4304591715335846,0.5313189029693604
Mixture NCA,3,25,0,18,0.015634600073099136,0.015376944094896317,0.644444465637207,0.6388189792633057,0.5605980157852173,0.7485663294792175
Mixture NCA,3,25,0,19,0.0076714083552360535,0.007558058947324753,0.5444444417953491,0.01323977205902338,0.03003203496336937,0.09683649986982346
Mixture NCA,3,25,0,20,0.012959860265254974,0.01292232796549797,0.5866665840148926,0.40712299942970276,0.3503737449645996,0.41406330466270447
Mixture NCA,3,25,0,21,0.025923456996679306,0.026242520660161972,0.508888840675354,0.41043293476104736,0.18019220232963562,0.3956940770149231
Mixture NCA,3,25,0,22,0.03034711256623268,0.029061883687973022,0.6288888454437256,0.5560704469680786,0.3904164433479309,0.5970386266708374
Mixture NCA,3,25,0,23,0.01895478554069996,0.018549803644418716,0.5244444608688354,0.3111346364021301,0.20021356642246246,0.2526300847530365
Mixture NCA,3,25,0,24,0.00983642041683197,0.009845040738582611,0.6266666650772095,0.02316960133612156,0.0,0.03341377526521683
Mixture NCA,3,25,0,25,0.01720476523041725,0.017014075070619583,0.6399999856948853,0.43360254168510437,0.18019220232963562,0.4567577838897705
