Model Type,Neighborhood Size,Time Step,Mean Entropy,Std Entropy,N Samples
Mixture NCA,5,0,1.0556323528289795,0.00839020311832428,20
Mixture NCA,5,1,1.0400850772857666,0.01267343107610941,20
Mixture NCA,5,2,1.0188281536102295,0.01740068756043911,20
Mixture NCA,5,3,0.9920681118965149,0.02192532829940319,20
Mixture NCA,5,4,0.9614561796188354,0.02726338617503643,20
Mixture NCA,5,5,0.9315325021743774,0.031251631677150726,20
Mixture NCA,5,6,0.9039479494094849,0.03432442992925644,20
Mixture NCA,5,7,0.8795965909957886,0.03648729249835014,20
Mixture NCA,5,8,0.8577215075492859,0.038654625415802,20
Mixture NCA,5,9,0.8370847702026367,0.042543232440948486,20
Mixture NCA,5,10,0.8183053731918335,0.0469600148499012,20
Mixture NCA,5,11,0.8005577325820923,0.0526106096804142,20
Mixture NCA,5,12,0.7834979891777039,0.0571250393986702,20
Mixture NCA,5,13,0.7669885158538818,0.06119031086564064,20
Mixture NCA,5,14,0.7513046264648438,0.06739925593137741,20
Mixture NCA,5,15,0.736721396446228,0.07353445887565613,20
Mixture NCA,5,16,0.7235138416290283,0.0803239643573761,20
Mixture NCA,5,17,0.7119571566581726,0.08624905347824097,20
Mixture NCA,5,18,0.701776385307312,0.09172932803630829,20
Mixture NCA,5,19,0.6925585865974426,0.09768301248550415,20
Mixture NCA,5,20,0.6835472583770752,0.10312224179506302,20
Mixture NCA,5,21,0.6756364107131958,0.10821126401424408,20
Mixture NCA,5,22,0.6691702604293823,0.11270248889923096,20
Mixture NCA,5,23,0.6635982990264893,0.11612112075090408,20
Mixture NCA,5,24,0.6599525213241577,0.11850350350141525,20
Mixture NCA,5,25,0.6572008728981018,0.12012561410665512,20
Mixture NCA,5,26,0.6547244787216187,0.12151596695184708,20
Mixture NCA,5,27,0.6529359817504883,0.12229321897029877,20
Mixture NCA,5,28,0.6514226198196411,0.12325828522443771,20
Mixture NCA,5,29,0.650321900844574,0.12384486943483353,20
Mixture NCA,5,30,0.6490837335586548,0.12398509681224823,20
Mixture NCA,5,31,0.6479142904281616,0.124402716755867,20
Mixture NCA,5,32,0.6466760635375977,0.12475305795669556,20
Mixture NCA,5,33,0.6455065608024597,0.1258341670036316,20
Mixture NCA,5,34,0.6447499990463257,0.12624725699424744,20
Mixture NCA,5,35,0.6441996693611145,0.1267300397157669,20
Mixture NCA,5,36,0.6438556909561157,0.1271653026342392,20
Mixture NCA,5,37,0.6433742046356201,0.12780886888504028,20
Mixture NCA,5,38,0.6427550911903381,0.1280698925256729,20
Mixture NCA,5,39,0.6427550315856934,0.12835334241390228,20
Mixture NCA,5,40,0.6426174640655518,0.12867678701877594,20
Mixture NCA,5,41,0.6422735452651978,0.12908588349819183,20
Mixture NCA,5,42,0.6419984102249146,0.1293332874774933,20
Mixture NCA,5,43,0.6418607234954834,0.12943284213542938,20
Mixture NCA,5,44,0.641585648059845,0.12991642951965332,20
Mixture NCA,5,45,0.641035258769989,0.13026836514472961,20
Mixture NCA,5,46,0.640691339969635,0.13055746257305145,20
Mixture NCA,5,47,0.6408289670944214,0.13013753294944763,20
Mixture NCA,5,48,0.6402786374092102,0.13038195669651031,20
Mixture NCA,5,49,0.6397970914840698,0.13060876727104187,20
Mixture NCA,5,50,0.6394531726837158,0.13077665865421295,20
Mixture NCA,5,51,0.6391780376434326,0.13069531321525574,20
Mixture NCA,5,52,0.639109194278717,0.13065403699874878,20
Mixture NCA,5,53,0.6389029026031494,0.13066256046295166,20
Mixture NCA,5,54,0.639040470123291,0.13053804636001587,20
Mixture NCA,5,55,0.639040470123291,0.13070470094680786,20
Mixture NCA,5,56,0.6388341188430786,0.13076522946357727,20
Mixture NCA,5,57,0.6390404105186462,0.13074667751789093,20
Mixture NCA,5,58,0.6389029026031494,0.13059227168560028,20
Mixture NCA,5,59,0.6388340592384338,0.1307189166545868,20
Mixture NCA,5,60,0.6389027833938599,0.13068212568759918,20
Mixture NCA,5,61,0.6386276483535767,0.13056838512420654,20
Mixture NCA,5,62,0.6386276483535767,0.13074223697185516,20
Mixture NCA,5,63,0.6386276483535767,0.13094258308410645,20
Mixture NCA,5,64,0.6384900808334351,0.1309080272912979,20
Mixture NCA,5,65,0.638421356678009,0.13075360655784607,20
Mixture NCA,5,66,0.6386964321136475,0.13089510798454285,20
Mixture NCA,5,67,0.6384900808334351,0.13094346225261688,20
Mixture NCA,5,68,0.6385588049888611,0.13056090474128723,20
Mixture NCA,5,69,0.6382149457931519,0.1310141533613205,20
Mixture NCA,5,70,0.6378021836280823,0.1313713788986206,20
Mixture NCA,5,71,0.6376645565032959,0.13140520453453064,20
Mixture NCA,5,72,0.6373206377029419,0.13149097561836243,20
Mixture NCA,5,73,0.6370454430580139,0.13156825304031372,20
Mixture NCA,5,74,0.6369767189025879,0.13104461133480072,20
Mixture NCA,5,75,0.6367014646530151,0.13143649697303772,20
Mixture NCA,5,76,0.6366326212882996,0.13135093450546265,20
Mixture NCA,5,77,0.6358760595321655,0.1315353959798813,20
Mixture NCA,5,78,0.6356696486473083,0.13164666295051575,20
Mixture NCA,5,79,0.6355320811271667,0.13150130212306976,20
Mixture NCA,5,80,0.6353257298469543,0.13117486238479614,20
Mixture NCA,5,81,0.635188102722168,0.13150805234909058,20
Mixture NCA,5,82,0.6347066164016724,0.13159427046775818,20
Mixture NCA,5,83,0.6349128484725952,0.1315341293811798,20
Mixture NCA,5,84,0.6349817514419556,0.13146936893463135,20
Mixture NCA,5,85,0.6347753405570984,0.13168713450431824,20
Mixture NCA,5,86,0.6347064971923828,0.13156263530254364,20
Mixture NCA,5,87,0.6345002055168152,0.13166485726833344,20
Mixture NCA,5,88,0.634637713432312,0.1314609944820404,20
Mixture NCA,5,89,0.6348441243171692,0.13158443570137024,20
Mixture NCA,5,90,0.6347065567970276,0.13165684044361115,20
Mixture NCA,5,91,0.6347752809524536,0.13160662353038788,20
Mixture NCA,5,92,0.6347065567970276,0.13156697154045105,20
Mixture NCA,5,93,0.634637713432312,0.13159270584583282,20
Mixture NCA,5,94,0.6346376538276672,0.13145384192466736,20
Mixture NCA,5,95,0.6347064971923828,0.13165974617004395,20
Mixture NCA,5,96,0.6346376538276672,0.13155101239681244,20
Mixture NCA,5,97,0.634706437587738,0.13161806762218475,20
Mixture NCA,5,98,0.6348440051078796,0.1315809041261673,20
Mixture NCA,5,99,0.6345688104629517,0.13178010284900665,20
Mixture NCA,5,100,0.6345688700675964,0.13166444003582,20
Stochastic Mixture NCA,5,0,1.9044506549835205,0.013148749247193336,20
Stochastic Mixture NCA,5,1,1.8800855875015259,0.019861189648509026,20
Stochastic Mixture NCA,5,2,1.8467727899551392,0.027269545942544937,20
Stochastic Mixture NCA,5,3,1.8048350811004639,0.03436032310128212,20
Stochastic Mixture NCA,5,4,1.7568610906600952,0.042725998908281326,20
Stochastic Mixture NCA,5,5,1.7099653482437134,0.04897629842162132,20
Stochastic Mixture NCA,5,6,1.666735291481018,0.05379197373986244,20
Stochastic Mixture NCA,5,7,1.62857186794281,0.05718151107430458,20
Stochastic Mixture NCA,5,8,1.594290018081665,0.060577988624572754,20
Stochastic Mixture NCA,5,9,1.5619480609893799,0.06667199730873108,20
Stochastic Mixture NCA,5,10,1.5325173139572144,0.07359395921230316,20
Stochastic Mixture NCA,5,11,1.5047035217285156,0.08244950324296951,20
Stochastic Mixture NCA,5,12,1.477967619895935,0.08952444791793823,20
Stochastic Mixture NCA,5,13,1.452094316482544,0.09589538723230362,20
Stochastic Mixture NCA,5,14,1.427514672279358,0.1056259423494339,20
Stochastic Mixture NCA,5,15,1.4045521020889282,0.11526698619127274,20
Stochastic Mixture NCA,5,16,1.3834222555160522,0.12617477774620056,20
Stochastic Mixture NCA,5,17,1.3648797273635864,0.13588657975196838,20
Stochastic Mixture NCA,5,18,1.3483855724334717,0.14544478058815002,20
Stochastic Mixture NCA,5,19,1.332969307899475,0.15568387508392334,20
Stochastic Mixture NCA,5,20,1.3174452781677246,0.16588379442691803,20
Stochastic Mixture NCA,5,21,1.3033225536346436,0.17587299644947052,20
Stochastic Mixture NCA,5,22,1.29146409034729,0.18470072746276855,20
Stochastic Mixture NCA,5,23,1.281114935874939,0.19203884899616241,20
Stochastic Mixture NCA,5,24,1.2729218006134033,0.1980968564748764,20
Stochastic Mixture NCA,5,25,1.2674236297607422,0.2018493264913559,20
Stochastic Mixture NCA,5,26,1.2630035877227783,0.20442649722099304,20
Stochastic Mixture NCA,5,27,1.2591227293014526,0.2065582126379013,20
Stochastic Mixture NCA,5,28,1.2559963464736938,0.20855388045310974,20
Stochastic Mixture NCA,5,29,1.253624439239502,0.20987917482852936,20
Stochastic Mixture NCA,5,30,1.2512527704238892,0.21025948226451874,20
Stochastic Mixture NCA,5,31,1.2489888668060303,0.2111307978630066,20
Stochastic Mixture NCA,5,32,1.246617078781128,0.21217788755893707,20
Stochastic Mixture NCA,5,33,1.2442452907562256,0.21456170082092285,20
Stochastic Mixture NCA,5,34,1.2426283359527588,0.21571844816207886,20
Stochastic Mixture NCA,5,35,1.2415502071380615,0.2168828248977661,20
Stochastic Mixture NCA,5,36,1.240795612335205,0.21791765093803406,20
Stochastic Mixture NCA,5,37,1.2401487827301025,0.21892096102237701,20
Stochastic Mixture NCA,5,38,1.2390707731246948,0.21955285966396332,20
Stochastic Mixture NCA,5,39,1.2390707731246948,0.22003723680973053,20
Stochastic Mixture NCA,5,40,1.2388551235198975,0.22066088020801544,20
Stochastic Mixture NCA,5,41,1.2383160591125488,0.2214207798242569,20
Stochastic Mixture NCA,5,42,1.2378848791122437,0.22189873456954956,20
Stochastic Mixture NCA,5,43,1.2376692295074463,0.22211140394210815,20
Stochastic Mixture NCA,5,44,1.2372380495071411,0.22294141352176666,20
Stochastic Mixture NCA,5,45,1.2363755702972412,0.22354091703891754,20
Stochastic Mixture NCA,5,46,1.2358365058898926,0.22405904531478882,20
Stochastic Mixture NCA,5,47,1.23605215549469,0.2234259694814682,20
Stochastic Mixture NCA,5,48,1.23518967628479,0.22381410002708435,20
Stochastic Mixture NCA,5,49,1.2344352006912231,0.224166139960289,20
Stochastic Mixture NCA,5,50,1.2338961362838745,0.2244131863117218,20
Stochastic Mixture NCA,5,51,1.2334649562835693,0.22432781755924225,20
Stochastic Mixture NCA,5,52,1.2333571910858154,0.22425788640975952,20
Stochastic Mixture NCA,5,53,1.2330336570739746,0.22424159944057465,20
Stochastic Mixture NCA,5,54,1.233249306678772,0.22403645515441895,20
Stochastic Mixture NCA,5,55,1.233249306678772,0.22431640326976776,20
Stochastic Mixture NCA,5,56,1.2329257726669312,0.22442428767681122,20
Stochastic Mixture NCA,5,57,1.233249306678772,0.2244117259979248,20
Stochastic Mixture NCA,5,58,1.2330336570739746,0.22413583099842072,20
Stochastic Mixture NCA,5,59,1.2329257726669312,0.2243393510580063,20
Stochastic Mixture NCA,5,60,1.2330336570739746,0.2242726981639862,20
Stochastic Mixture NCA,5,61,1.2326023578643799,0.22405080497264862,20
Stochastic Mixture NCA,5,62,1.2326023578643799,0.2243577092885971,20
Stochastic Mixture NCA,5,63,1.2327101230621338,0.22471153736114502,20
Stochastic Mixture NCA,5,64,1.232386827468872,0.2246074229478836,20
Stochastic Mixture NCA,5,65,1.2322789430618286,0.22437137365341187,20
Stochastic Mixture NCA,5,66,1.2327102422714233,0.22458530962467194,20
Stochastic Mixture NCA,5,67,1.232386827468872,0.22467054426670074,20
Stochastic Mixture NCA,5,68,1.232494592666626,0.22406546771526337,20
Stochastic Mixture NCA,5,69,1.2319555282592773,0.22478307783603668,20
Stochastic Mixture NCA,5,70,1.2313086986541748,0.22539156675338745,20
Stochastic Mixture NCA,5,71,1.2309852838516235,0.22548165917396545,20
Stochastic Mixture NCA,5,72,1.2304461002349854,0.22563457489013672,20
Stochastic Mixture NCA,5,73,1.2300150394439697,0.2257748246192932,20
Stochastic Mixture NCA,5,74,1.2299071550369263,0.22493621706962585,20
Stochastic Mixture NCA,5,75,1.229475975036621,0.2255658656358719,20
Stochastic Mixture NCA,5,76,1.2293680906295776,0.225444957613945,20
Stochastic Mixture NCA,5,77,1.228182315826416,0.2257356494665146,20
Stochastic Mixture NCA,5,78,1.2278590202331543,0.22589629888534546,20
Stochastic Mixture NCA,5,79,1.227643370628357,0.22564899921417236,20
Stochastic Mixture NCA,5,80,1.2273198366165161,0.22516779601573944,20
Stochastic Mixture NCA,5,81,1.2271043062210083,0.2257145494222641,20
Stochastic Mixture NCA,5,82,1.2264574766159058,0.22583884000778198,20
Stochastic Mixture NCA,5,83,1.226672887802124,0.22575987875461578,20
Stochastic Mixture NCA,5,84,1.226780891418457,0.2256605476140976,20
Stochastic Mixture NCA,5,85,1.2264573574066162,0.22598083317279816,20
Stochastic Mixture NCA,5,86,1.2263495922088623,0.2258164882659912,20
Stochastic Mixture NCA,5,87,1.2260262966156006,0.2259703427553177,20
Stochastic Mixture NCA,5,88,1.2262418270111084,0.22563961148262024,20
Stochastic Mixture NCA,5,89,1.2265651226043701,0.22585701942443848,20
Stochastic Mixture NCA,5,90,1.2263495922088623,0.22595538198947906,20
Stochastic Mixture NCA,5,91,1.2264574766159058,0.22586560249328613,20
Stochastic Mixture NCA,5,92,1.2263495922088623,0.22582679986953735,20
Stochastic Mixture NCA,5,93,1.2263495922088623,0.2256898581981659,20
Stochastic Mixture NCA,5,94,1.2262418270111084,0.225641667842865,20
Stochastic Mixture NCA,5,95,1.2263495922088623,0.22596673667430878,20
Stochastic Mixture NCA,5,96,1.2262418270111084,0.2257683426141739,20
Stochastic Mixture NCA,5,97,1.2262418270111084,0.22604718804359436,20
Stochastic Mixture NCA,5,98,1.2263495922088623,0.22612407803535461,20
Stochastic Mixture NCA,5,99,1.2258105278015137,0.2266032099723816,20
Stochastic Mixture NCA,5,100,1.2258105278015137,0.22640927135944366,20
