Model Type,Neighborhood Size,Step Length,Evaluation,Simulation,KL Divergence,Chi-Square,Categorical MMD,Tumor Size Diff,Border Size Diff,Spatial Variance Diff
Mixture NCA,4,25,0,0,0.02879573404788971,0.028264455497264862,0.7555555105209351,0.18535681068897247,0.09009610116481781,0.5334476828575134
Mixture NCA,4,25,0,1,1.8806322813034058,0.17326787114143372,0.6711111068725586,0.6983979940414429,0.4004271328449249,0.33626437187194824
Mixture NCA,4,25,0,2,0.22966477274894714,0.1374291032552719,0.9777777194976807,0.9764332175254822,0.5906299948692322,0.900355339050293
Mixture NCA,4,25,0,3,4.760477066040039,0.5354087948799133,0.2777777910232544,0.2945849299430847,0.33035239577293396,0.26459676027297974
Mixture NCA,4,25,0,4,0.2783379852771759,0.18414849042892456,1.0555555820465088,1.3703163862228394,0.6907368302345276,1.3232446908950806
Mixture NCA,4,25,0,5,0.007926885038614273,0.00784384086728096,0.6422221660614014,0.38726332783699036,0.3503737449645996,0.35390207171440125
Mixture NCA,4,25,0,6,0.0462338924407959,0.0437837690114975,0.5,0.38395339250564575,0.33035239577293396,0.4662996232509613
Mixture NCA,4,25,0,7,3.9044442176818848,0.3408718705177307,0.6177777051925659,0.8341056108474731,0.7508008480072021,0.8592277765274048
Mixture NCA,4,25,0,8,2.005053758621216,0.4981473684310913,0.7288888692855835,0.9234740734100342,0.46049121022224426,0.38088637590408325
Mixture NCA,4,25,0,9,0.03818318247795105,0.035984985530376434,0.7888888120651245,0.5461406111717224,0.4204484820365906,0.5507704019546509
Mixture NCA,4,25,0,10,0.10915888845920563,0.08762618899345398,0.5199999809265137,0.2647954523563385,0.2102242410182953,0.1252146065235138
Mixture NCA,4,25,0,11,0.12853886187076569,0.10597021877765656,0.9133332967758179,0.7579769492149353,0.49052324891090393,0.25507017970085144
Mixture NCA,4,25,0,12,1.6285420656204224,0.23420661687850952,0.3533332347869873,0.22176618874073029,0.2102242410182953,0.18061913549900055
