Model Type,Step Length,Neighborhood Size,Metric,n,median,q1,q3,p5,p95,iqr,tukey_outlier_rate
Mixture NCA,25,5,Tumor Size Diff,1500,0.3988481312990188,0.20438897982239715,0.623096764087677,0.03624387718737125,0.9367138743400574,0.4187077842652799,0.008666666666666666
Mixture NCA,25,5,Border Size Diff,1500,0.2702883183956146,0.1401495039463043,0.4304591715335846,0.0300320349633693,0.6406834125518799,0.2903096675872803,0.004
Mixture NCA,25,5,Spatial Variance Diff,1500,0.4226035922765732,0.2045087106525898,0.6729820668697357,0.03716641552746295,1.018020588159561,0.4684733562171459,0.006666666666666667
Mixture NCA,25,6,KL Divergence,1500,0.45285034179687494,0.3037084415555,1.734176754951477,0.15867420211434363,3.0972233653068537,1.430468313395977,0.034
Mixture NCA,25,6,Chi-Square,1500,0.253916472196579,0.20071218907833094,0.3053985387086868,0.12354969903826714,0.3799394756555557,0.10468634963035583,0.010666666666666666
Mixture NCA,25,6,Categorical MMD,1500,0.7377777099609375,0.6133333444595337,0.855555534362793,0.4511110782623291,1.0755555629730225,0.24222218990325928,0.01
Mixture NCA,25,6,Tumor Size Diff,1500,0.4915265291929245,0.2912749946117401,0.7281874418258667,0.0661988630890846,1.0692770838737486,0.4369124472141266,0.008
Mixture NCA,25,6,Border Size Diff,1500,0.2002135664224624,0.0900961011648178,0.3403630554676056,0.0200213566422462,0.5911305308341975,0.2502669543027878,0.027333333333333334
Mixture NCA,25,6,Spatial Variance Diff,1500,0.2663874626159668,0.12577850744128224,0.45190583914518356,0.025272112991660788,0.7877091318368906,0.3261273317039013,0.025333333333333333
Mixture NCA,25,7,KL Divergence,1500,0.031875442713499055,0.02028013393282885,0.04864776041358707,0.007301808265037781,0.08576580472290508,0.02836762648075822,0.04
Mixture NCA,25,7,Chi-Square,1500,0.029824536293745,0.01922653662040825,0.04392033908516163,0.00711319923866532,0.07207382097840302,0.02469380246475338,0.03
Mixture NCA,25,7,Categorical MMD,1500,0.5533332824707031,0.4333332777023315,0.6888889074325562,0.3109999775886535,0.8801111042499541,0.25555562973022466,0.0033333333333333335
Mixture NCA,25,7,Tumor Size Diff,1500,0.3541639149188995,0.1853568106889724,0.5593803524971008,0.0330994315445423,0.8905401587486266,0.37402354180812847,0.011333333333333334
Mixture NCA,25,7,Border Size Diff,1500,0.3303523957729339,0.2102242410182953,0.4705018699169159,0.0500533916056156,0.6406834125518799,0.2602776288986206,0.006666666666666667
Mixture NCA,25,7,Spatial Variance Diff,1500,0.4333544373512268,0.2268468253314495,0.665864422917366,0.050382655858993465,1.0042633593082428,0.4390175975859165,0.008666666666666666
Mixture NCA,50,1,KL Divergence,1500,9.976470947265623,9.426474571228027,14.430960655212402,8.955238342285156,15.057601451873778,5.004486083984375,0.0
Mixture NCA,50,1,Chi-Square,1500,1.4047614932060242,1.3176721334457397,1.5285738408565521,1.1519675254821775,1.633780938386917,0.21090170741081238,0.0006666666666666666
Mixture NCA,50,1,Categorical MMD,1500,0.6222221851348877,0.4955555200576782,0.762222170829773,0.3355555534362793,0.9691111028194427,0.2666666507720947,0.0033333333333333335
Mixture NCA,50,1,Tumor Size Diff,1500,0.9234740734100342,0.7339798808097839,1.1320005655288696,0.4964914619922638,1.4401561737060544,0.3980206847190857,0.0033333333333333335
Mixture NCA,50,1,Border Size Diff,1500,0.7608115673065186,0.6406834125518799,0.8909503817558289,0.500533938407898,1.071142554283142,0.250266969203949,0.006
Mixture NCA,50,1,Spatial Variance Diff,1500,0.8321624398231506,0.587513193488121,1.0735539197921753,0.25393811613321304,1.4404746294021606,0.48604072630405426,0.004
Mixture NCA,50,2,KL Divergence,1500,0.07312874868512151,0.05073671601712702,0.09981262497603885,0.0276288175955414,0.16462053433060636,0.049075908958911826,0.036
Mixture NCA,50,2,Chi-Square,1500,0.0630587227642536,0.0456283064559102,0.08315365202724928,0.026115282904356666,0.11772395670413971,0.03752534557133908,0.018
Mixture NCA,50,2,Categorical MMD,1500,0.6599999666213989,0.5488888025283813,0.7888888120651245,0.4111111164093017,0.9734444677829741,0.24000000953674316,0.0026666666666666666
Mixture NCA,50,2,Tumor Size Diff,1500,0.4998013973236084,0.3045147657394409,0.7050178647041321,0.1158480048179626,1.0260822772979736,0.40050309896469116,0.008666666666666666
Mixture NCA,50,2,Border Size Diff,1500,0.3503737449645996,0.1801922023296356,0.5505872964859009,0.0300320349633693,0.8814402550458904,0.37039509415626526,0.008
Mixture NCA,50,2,Spatial Variance Diff,1500,0.2452197223901748,0.12434223107993597,0.42034636437892914,0.02720902701839803,0.7822565555572509,0.29600413329899317,0.030666666666666665
Mixture NCA,50,3,KL Divergence,1500,2.9618200063705444,0.3951762467622757,5.189490795135498,0.04494673144072288,16.85610427856445,4.794314548373222,0.062
Mixture NCA,50,3,Chi-Square,1500,0.3730472326278686,0.21792003139853472,0.5318025946617126,0.042575961537659156,1.0,0.3138825632631779,0.028
Mixture NCA,50,3,Categorical MMD,1500,0.7277777791023254,0.5883333086967468,0.8600000143051147,0.3911110162734985,1.073444378376007,0.2716667056083679,0.006
Mixture NCA,50,3,Tumor Size Diff,1500,0.8341056108474731,0.6214417964220047,1.0426321029663086,0.37054812461137765,1.3704818844795226,0.4211903065443039,0.008
Mixture NCA,50,3,Border Size Diff,1500,0.6607047915458679,0.4404698610305786,0.8308863043785095,0.1601708531379699,1.091163992881775,0.3904164433479309,0.0013333333333333333
Mixture NCA,50,3,Spatial Variance Diff,1500,0.7470659017562866,0.4462936073541641,1.0611422061920166,0.09953410588204856,1.868596631288528,0.6148485988378525,0.044
Mixture NCA,50,4,KL Divergence,1500,0.0333258174359798,0.0183029416948556,0.05897490028291935,0.00798463001847261,0.1294524244964122,0.04067195858806375,0.056666666666666664
Mixture NCA,50,4,Chi-Square,1500,0.0311368461698293,0.017810305114835452,0.04995289165526627,0.007964411238208326,0.09128453470766543,0.03214258654043082,0.035333333333333335
Mixture NCA,50,4,Categorical MMD,1500,0.5666666030883789,0.4422222375869751,0.7022222280502319,0.2911111116409302,0.9091110408306119,0.25999999046325684,0.0006666666666666666
Mixture NCA,50,4,Tumor Size Diff,1500,0.3409241437911987,0.1654971539974212,0.5560704469680786,0.0397193171083927,0.8903746604919434,0.3905732929706574,0.01
Mixture NCA,50,4,Border Size Diff,1500,0.2302456051111221,0.1201281398534774,0.3703950941562652,0.0200213566422462,0.5706086754798889,0.2502669543027878,0.008
Mixture NCA,50,4,Spatial Variance Diff,1500,0.394453227519989,0.18760440498590464,0.6453154683113098,0.04991788417100897,0.9924786776304243,0.4577110633254052,0.008
Mixture NCA,50,5,KL Divergence,1500,0.020397711545228903,0.012734646908938824,0.0320992209017276,0.005964804999530225,0.055544499680399845,0.019364573992788778,0.038
Mixture NCA,50,5,Chi-Square,1500,0.01990730501711365,0.012532111490145251,0.030777643434703274,0.00594278103671964,0.05340488199144597,0.018245531944558024,0.034666666666666665
Mixture NCA,50,5,Categorical MMD,1500,0.5977777242660522,0.4755555391311645,0.7288888692855835,0.3155555725097656,0.9377777576446532,0.253333330154419,0.004
Mixture NCA,50,5,Tumor Size Diff,1500,0.385608360171318,0.19776909425854675,0.615649402141571,0.0297894868999719,0.9335694074630736,0.4178803078830243,0.008666666666666666
Mixture NCA,50,5,Border Size Diff,1500,0.2702883183956146,0.1401495039463043,0.4204484820365906,0.0300320349633693,0.6311732858419414,0.28029897809028625,0.004666666666666667
Mixture NCA,50,5,Spatial Variance Diff,1500,0.41132283210754395,0.19753625988960263,0.6628503054380417,0.04056360032409422,1.0127184808254244,0.465314045548439,0.007333333333333333
Mixture NCA,50,6,KL Divergence,1500,0.27644234895706177,0.17961873859167093,0.4143774062395095,0.07905176654458042,2.0843039274215687,0.2347586676478386,0.07533333333333334
Mixture NCA,50,6,Chi-Square,1500,0.19426186382770533,0.13975684717297548,0.25597582012414927,0.06995580308139317,0.3440964594483375,0.11621897295117378,0.004666666666666667
Mixture NCA,50,6,Categorical MMD,1500,0.8422222137451172,0.7200000286102295,0.9622222185134888,0.5488888025283813,1.1488888263702393,0.24222218990325928,0.005333333333333333
Mixture NCA,50,6,Tumor Size Diff,1500,0.2879650294780731,0.1323977261781692,0.5006288886070251,0.0231696013361215,0.8708459854125974,0.36823116242885595,0.019333333333333334
Mixture NCA,50,6,Border Size Diff,1500,0.1801922023296356,0.0800854265689849,0.3103310167789459,0.0200213566422462,0.5310665100812908,0.23024559020996102,0.016666666666666666
Mixture NCA,50,6,Spatial Variance Diff,1500,0.25009577721357346,0.12388436868786809,0.420797161757946,0.025113697815686405,0.7310193121433257,0.2969127930700779,0.027333333333333334
Mixture NCA,50,7,KL Divergence,1500,0.031132834032177897,0.0199018823914229,0.047213336452841724,0.007488819211721415,0.07893026173114773,0.027311454061418824,0.030666666666666665
