Model Type,Neighborhood Size,Step Length,n_evaluations,KL Divergence mean_across_eval,KL Divergence std_across_eval,Chi-Square mean_across_eval,Chi-Square std_across_eval,Categorical MMD mean_across_eval,Categorical MMD std_across_eval,Tumor Size Diff mean_across_eval,Tumor Size Diff std_across_eval,Border Size Diff mean_across_eval,Border Size Diff std_across_eval,Spatial Variance Diff mean_across_eval,Spatial Variance Diff std_across_eval
Mixture NCA,4,50,5,0.04994608812779183,0.007133624483292173,0.03736653475323687,0.0009034301489250408,0.5779407060146331,0.002223969458641472,0.38588860332453623,0.0051160517758809905,0.25364389442900814,0.0021975916364070456,0.4412763103861847,0.007173349893070999
Mixture NCA,4,100,5,0.04567893412585055,0.004412265458681438,0.03529728452946675,0.0008297161706482231,0.5916088547706604,0.003939206781107254,0.3751136353827702,0.007745315890779349,0.24803124089539041,0.00427780036139472,0.4305237640632355,0.008203832299167123
Mixture NCA,5,25,5,0.023877887180851105,0.0012079873885773912,0.023102907254884442,0.0011391739042864674,0.5961584856510163,0.004864518777174158,0.4312789552427517,0.013460863251331756,0.29593567368636525,0.008660589809179886,0.4612971188737235,0.014572032172259877
Mixture NCA,5,50,5,0.024218770629726303,0.0012173261792023757,0.023436170753925838,0.0011496724303517896,0.6042370030879973,0.005104742645215034,0.42365946609573435,0.012413907327976242,0.2915710179085532,0.00849573136282539,0.455181498797688,0.01334650420675268
Mixture NCA,5,100,5,0.024221469570261688,0.0012191595043639706,0.023438113168095347,0.0011490632938710077,0.6044029288291931,0.005038886161328269,0.4234807291926505,0.012223025931909609,0.2916978198513388,0.008410313431390827,0.4549876185103785,0.012967906205050997
Mixture NCA,6,25,5,0.998725859850645,0.04336289898207512,0.25399617221485815,0.0022821386396922527,0.7430399692058562,0.0027206746643506914,0.5265302883884869,0.0066011423932194465,0.2397490726411342,0.007773936036270771,0.3196540684094264,0.01750485866083726
Mixture NCA,6,50,5,0.45841245437227185,0.049207557588118865,0.19961563857117043,0.0046814590276694264,0.8441392307281493,0.003671703734979512,0.34623769258164494,0.0029023726215141135,0.21232648827135558,0.009159329921813498,0.2984368766921591,0.009359454791569254
Mixture NCA,6,100,5,0.47210766943792504,0.07272392995165608,0.19409681242766474,0.0038072717137428063,1.0276044184366862,0.010284592935440361,0.4851626202350793,0.00978245903311415,0.20658703274031476,0.011056652381628129,0.40404381412296786,0.00776136071499017
Mixture NCA,7,25,5,0.03726176911561435,0.0008351153606342665,0.03346384337905324,0.0006793280548009463,0.5678488550186158,0.0013252474683412173,0.39536386712485305,0.0022317700420891925,0.3410838332076867,0.002889698617829977,0.46525704986016103,0.002657230517916042
Mixture NCA,7,50,5,0.035706024047452906,0.0008159616296767516,0.03273495151820433,0.0006985906899628678,0.5734399658044179,0.001214325281424596,0.37052605453335363,0.002075272593196,0.31626402432223155,0.002573347834898665,0.440225147052377,0.0028664118561605584
