Model Type,Neighborhood Size,Step Length,Evaluation,KL Divergence,Chi-Square,Categorical MMD,Tumor Size Diff,Border Size Diff,Spatial Variance Diff
Mixture NCA,6,100,3,0.5263654864827791,0.1937565866298973,1.0289703412850697,0.4867381533367249,0.21823278906444704,0.4146233560327285
Mixture NCA,6,100,4,0.4788393798222144,0.19594587696095306,1.0283555277188619,0.4998565610048051,0.20001335358868041,0.39993234016631807
Mixture NCA,7,25,0,0.038529636343009724,0.03449039292482965,0.5664295943578085,0.3970497311799166,0.34116391837596893,0.46691708572519325
Mixture NCA,7,25,1,0.0367994107973451,0.033094867876692004,0.5677851517995198,0.39240477901883425,0.3377602883428335,0.4621524986649941
Mixture NCA,7,25,2,0.036969183611993944,0.033209667052918376,0.5687332975864411,0.39367358962151533,0.3415309773385525,0.4629699873225763
Mixture NCA,7,25,3,0.036392422164790286,0.03275715488241981,0.5667258969942729,0.3975793212760861,0.3455018784105778,0.46847497546657296
Mixture NCA,7,25,4,0.03761819266093269,0.03376713415840637,0.5695703343550365,0.39611191452791294,0.339462103570501,0.46577070212146887
Mixture NCA,7,50,0,0.03677150158987687,0.03365387609694148,0.5717925584316254,0.3727768166495176,0.31857315386335056,0.4426340955821797
Mixture NCA,7,50,1,0.035215927135820134,0.0323313140556759,0.5734666319688161,0.3686173211472729,0.31667112464706104,0.43791367250785695
Mixture NCA,7,50,2,0.03551536482060323,0.03259554805622121,0.5743481143315633,0.3683966574290146,0.3182728337496519,0.43719453678961145
Mixture NCA,7,50,3,0.034746402005354525,0.03189329238220424,0.5727703348795573,0.37251202009928724,0.3156033203129967,0.44372064068894057
Mixture NCA,7,50,4,0.03628092468560979,0.0332007269999788,0.5748221894105275,0.37032745734167594,0.31219968903809786,0.43966278969329625
Mixture NCA,7,100,0,0.0373855098492155,0.03471232813084493,0.5780814492702484,0.34840460256751,0.28967566289007657,0.4182748310807316
Mixture NCA,7,100,1,0.03561327820954219,0.03322176573953276,0.5784740416208903,0.3458559445571154,0.2903430411840478,0.41556657082944487
Mixture NCA,7,100,2,0.036592910868736554,0.033985606268979555,0.5800444110234578,0.34563528220324463,0.29408036114027103,0.4135896163817961
Mixture NCA,7,100,3,0.03530895956481492,0.032893678466789374,0.5789481135209401,0.3505229648474293,0.2924452832341194,0.4216997174064939
Mixture NCA,7,100,4,0.036774302191721855,0.034141990459368825,0.5805999644597372,0.34800740903553856,0.2892752342298626,0.4164674668770749
Stochastic Mixture NCA,1,25,0,14.482578557332356,1.5408233114083607,0.630437003771464,0.9390197986364365,0.7767285341024399,0.9357574531435966
Stochastic Mixture NCA,1,25,1,14.482578557332356,1.5408233114083607,0.630437003771464,0.9390197986364365,0.7767285341024399,0.9357574531435966
Stochastic Mixture NCA,1,25,2,14.482578557332356,1.5408233114083607,0.630437003771464,0.9390197986364365,0.7767285341024399,0.9357574531435966
Stochastic Mixture NCA,1,25,3,14.482578557332356,1.5408233114083607,0.630437003771464,0.9390197986364365,0.7767285341024399,0.9357574531435966
Stochastic Mixture NCA,1,25,4,14.482578557332356,1.5408233114083607,0.630437003771464,0.9390197986364365,0.7767285341024399,0.9357574531435966
Stochastic Mixture NCA,1,50,0,14.482578557332356,1.5408233114083607,0.630437003771464,0.9390197986364365,0.7767285341024399,0.9357574531435966
Stochastic Mixture NCA,1,50,1,14.482578557332356,1.5408233114083607,0.630437003771464,0.9390197986364365,0.7767285341024399,0.9357574531435966
Stochastic Mixture NCA,1,50,2,14.482578557332356,1.5408233114083607,0.630437003771464,0.9390197986364365,0.7767285341024399,0.9357574531435966
Stochastic Mixture NCA,1,50,3,14.482578557332356,1.5408233114083607,0.630437003771464,0.9390197986364365,0.7767285341024399,0.9357574531435966
Stochastic Mixture NCA,1,50,4,14.482578557332356,1.5408233114083607,0.630437003771464,0.9390197986364365,0.7767285341024399,0.9357574531435966
Stochastic Mixture NCA,1,100,0,14.482578557332356,1.5408233114083607,0.630437003771464,0.9390197986364365,0.7767285341024399,0.9357574531435966
Stochastic Mixture NCA,1,100,1,14.482578557332356,1.5408233114083607,0.630437003771464,0.9390197986364365,0.7767285341024399,0.9357574531435966
Stochastic Mixture NCA,1,100,2,14.482578557332356,1.5408233114083607,0.630437003771464,0.9390197986364365,0.7767285341024399,0.9357574531435966
Stochastic Mixture NCA,1,100,3,14.482578557332356,1.5408233114083607,0.630437003771464,0.9390197986364365,0.7767285341024399,0.9357574531435966
Stochastic Mixture NCA,1,100,4,14.482578557332356,1.5408233114083607,0.630437003771464,0.9390197986364365,0.7767285341024399,0.9357574531435966
Stochastic Mixture NCA,2,25,0,0.31660734540472424,0.10445915128414826,0.6164147826035817,0.621728662562867,0.18469701660176116,0.4739148947332554
Stochastic Mixture NCA,2,25,1,0.22233775673434134,0.10206120070070024,0.6168073729674022,0.6197095973060156,0.18282835602760314,0.46803342931903896
Stochastic Mixture NCA,2,25,2,0.26168134607374666,0.10561175425226485,0.6168518169720968,0.6220375906427701,0.19200481095661717,0.4737195103460302
Stochastic Mixture NCA,2,25,3,0.24922475044926004,0.1057397451686362,0.6188370045026144,0.6196102987478177,0.171316075399518,0.4680239993240684
Stochastic Mixture NCA,2,25,4,0.2712469130009412,0.10640676770359273,0.6162888574600219,0.6239021916439136,0.18623198729008433,0.4770038421358913
Stochastic Mixture NCA,2,50,0,0.1715382438898086,0.09585170645887649,0.6542888573805491,0.5494946737595213,0.3359583651771148,0.32605654812010465
Stochastic Mixture NCA,2,50,1,0.14609121632451808,0.09362009447067972,0.6541258947054545,0.5478948679255943,0.33839429593334597,0.32643237363469474
Stochastic Mixture NCA,2,50,2,0.15223640237624442,0.09590685756256179,0.6548814515272776,0.5477183379294972,0.3319540940349301,0.32884098871611056
Stochastic Mixture NCA,2,50,3,0.13887042849014197,0.09644321849569673,0.6557703391710917,0.5466922543733381,0.3292178415258725,0.32234899072481005
Stochastic Mixture NCA,2,50,4,0.1458582140070696,0.0981718722855051,0.6528666349252065,0.5506531553218762,0.3454351413870851,0.32589603407153234
Stochastic Mixture NCA,2,100,0,0.14655303262174124,0.10061070124308263,0.6731332989533743,0.5163952422677539,0.545949027625223,0.2947792220391177
Stochastic Mixture NCA,2,100,1,0.145967162164549,0.0992718441660205,0.674155523777008,0.5126660404525076,0.5590296471243104,0.28523570378155755
Stochastic Mixture NCA,2,100,2,0.13437865773215885,0.10083495220790302,0.6763110748926798,0.5110441681696102,0.5545248434444269,0.2987654693479028
Stochastic Mixture NCA,2,100,3,0.13868503323445713,0.10225016531844928,0.6752814519405365,0.5124674439849332,0.5505539407208562,0.28751867359872746
Stochastic Mixture NCA,2,100,4,0.1436767155428727,0.10277653486157452,0.673007371822993,0.5161414818201835,0.5667045022919774,0.2923706828573873
Stochastic Mixture NCA,3,25,0,0.6677125978966554,0.11247912125351524,0.7227184891700744,0.6225782145746053,0.47330487209061783,0.5897688823682256
Stochastic Mixture NCA,3,25,1,0.7261672237313663,0.11948516388501346,0.7247333006064097,0.6167968464829028,0.4719367470095555,0.5712584070001806
Stochastic Mixture NCA,3,25,2,0.6673460707813501,0.1162984567446013,0.7206370095411937,0.6322763466089963,0.4743059391280015,0.5647400489043988
Stochastic Mixture NCA,3,25,3,0.6291310992867997,0.113235480558748,0.7235407090187073,0.6127366499975324,0.46859985335419574,0.5634130817527573
Stochastic Mixture NCA,3,25,4,0.6472418321607013,0.11302925372108191,0.7243851554393769,0.6236484291683883,0.4780098910878102,0.5830425706855021
Stochastic Mixture NCA,3,50,0,2.462634813236849,0.2961657125630881,0.7562295985221863,0.7983361898424725,0.6032434764504433,0.6390835543403712
Stochastic Mixture NCA,3,50,1,2.6776766108861194,0.3152430459763854,0.7527703432242075,0.796968078960975,0.5905632841214538,0.6785211697785417
Stochastic Mixture NCA,3,50,2,2.8172377022324753,0.3190225937776267,0.7484666367371877,0.7997042974581321,0.5927322650700808,0.6897618725026647
Stochastic Mixture NCA,3,50,3,2.5235023223826043,0.2961265840554066,0.7553629318873087,0.7835407434776426,0.5874933424343666,0.6342176584744205
Stochastic Mixture NCA,3,50,4,2.480939080302293,0.28713169008105366,0.7549777483940124,0.7963171232740084,0.5866591205944618,0.6948653634265065
Stochastic Mixture NCA,3,100,0,3.162571914320191,0.36633388866980865,0.7848666361967722,0.7545015104704847,0.4473772135252754,0.7441817616508343
Stochastic Mixture NCA,3,100,1,3.0686363550523916,0.3656047070647279,0.7853555242220561,0.7547221729811281,0.4422717702264587,0.6441239012901981
Stochastic Mixture NCA,3,100,2,2.916557843486468,0.3526284295072158,0.7839481210708619,0.757017069698001,0.4320942463353276,0.7181577775200518
Stochastic Mixture NCA,3,100,3,3.1711149251274766,0.3785698894100884,0.7748295982678731,0.7655677537441564,0.4474105827510357,0.7552585421712138
Stochastic Mixture NCA,3,100,4,2.968832642994821,0.3559783230784038,0.7879110817114512,0.7605807718417297,0.44714363109320404,0.6813373658852652
