Model Type,Neighborhood Size,Time Step,Mean Entropy,Std Entropy,N Samples
Mixture NCA,6,0,0.9834081530570984,0.0005722153000533581,20
Mixture NCA,6,1,0.983806312084198,0.0007393783889710903,20
Mixture NCA,6,2,0.9800219535827637,0.0017288633389398456,20
Mixture NCA,6,3,0.9731518030166626,0.0031565597746521235,20
Mixture NCA,6,4,0.964346706867218,0.004508310928940773,20
Mixture NCA,6,5,0.9570791125297546,0.005536440294235945,20
Mixture NCA,6,6,0.95062255859375,0.005554541479796171,20
Mixture NCA,6,7,0.9456537365913391,0.005345979705452919,20
Mixture NCA,6,8,0.940623939037323,0.005744485184550285,20
Mixture NCA,6,9,0.9356083869934082,0.006831680424511433,20
Mixture NCA,6,10,0.931667685508728,0.007675077300518751,20
Mixture NCA,6,11,0.9271883964538574,0.008661650121212006,20
Mixture NCA,6,12,0.9231406450271606,0.009415939450263977,20
Mixture NCA,6,13,0.9194962382316589,0.010645289905369282,20
Mixture NCA,6,14,0.9158347249031067,0.012442652136087418,20
Mixture NCA,6,15,0.9125725626945496,0.013944725506007671,20
Mixture NCA,6,16,0.9095965623855591,0.01572399213910103,20
Mixture NCA,6,17,0.9069310426712036,0.017404362559318542,20
Mixture NCA,6,18,0.9044078588485718,0.01867818273603916,20
Mixture NCA,6,19,0.9026132822036743,0.019713418558239937,20
Mixture NCA,6,20,0.9004892110824585,0.021147672086954117,20
Mixture NCA,6,21,0.8988245129585266,0.02245502360165119,20
Mixture NCA,6,22,0.8974431753158569,0.02345895580947399,20
Mixture NCA,6,23,0.8962315320968628,0.024270527064800262,20
Mixture NCA,6,24,0.8955262899398804,0.024722013622522354,20
Mixture NCA,6,25,0.8948501348495483,0.025167997926473618,20
Mixture NCA,6,26,0.8943502306938171,0.02546338364481926,20
Mixture NCA,6,27,0.8940607905387878,0.025639817118644714,20
Mixture NCA,6,28,0.8937371373176575,0.025928087532520294,20
Mixture NCA,6,29,0.893413245677948,0.02602684311568737,20
Mixture NCA,6,30,0.8931213617324829,0.026014303788542747,20
Mixture NCA,6,31,0.8929398655891418,0.02602880820631981,20
Mixture NCA,6,32,0.892708420753479,0.026113636791706085,20
Mixture NCA,6,33,0.8925583958625793,0.026257500052452087,20
Mixture NCA,6,34,0.8923805952072144,0.02631072700023651,20
Mixture NCA,6,35,0.8922174572944641,0.026502616703510284,20
Mixture NCA,6,36,0.8922172784805298,0.026524104177951813,20
Mixture NCA,6,37,0.8920990824699402,0.026623668149113655,20
Mixture NCA,6,38,0.8920415639877319,0.026591217145323753,20
Mixture NCA,6,39,0.891961395740509,0.026710297912359238,20
Mixture NCA,6,40,0.8918569684028625,0.026849612593650818,20
Mixture NCA,6,41,0.8917490243911743,0.02690688706934452,20
Mixture NCA,6,42,0.8916944265365601,0.02696545049548149,20
Mixture NCA,6,43,0.8915643692016602,0.027056396007537842,20
Mixture NCA,6,44,0.8914903402328491,0.02718479372560978,20
Mixture NCA,6,45,0.8913021087646484,0.027255970984697342,20
Mixture NCA,6,46,0.8911687135696411,0.027310369536280632,20
Mixture NCA,6,47,0.8911673426628113,0.027269579470157623,20
Mixture NCA,6,48,0.8910306096076965,0.02740599401295185,20
Mixture NCA,6,49,0.8909332156181335,0.027468781918287277,20
Mixture NCA,6,50,0.8908543586730957,0.027487175539135933,20
Mixture NCA,6,51,0.8907769322395325,0.02751363068819046,20
Mixture NCA,6,52,0.8907777070999146,0.027513455599546432,20
Mixture NCA,6,53,0.8907486200332642,0.02751234918832779,20
Mixture NCA,6,54,0.8907874226570129,0.027456652373075485,20
Mixture NCA,6,55,0.8907617330551147,0.02753065712749958,20
Mixture NCA,6,56,0.8906925916671753,0.027533547952771187,20
Mixture NCA,6,57,0.8907362222671509,0.027505727484822273,20
Mixture NCA,6,58,0.8906524777412415,0.02751396968960762,20
Mixture NCA,6,59,0.8906233906745911,0.027536949142813683,20
Mixture NCA,6,60,0.890533447265625,0.027589023113250732,20
Mixture NCA,6,61,0.8904849886894226,0.027577843517065048,20
Mixture NCA,6,62,0.8904449343681335,0.027663342654705048,20
Mixture NCA,6,63,0.8904544115066528,0.02767767198383808,20
Mixture NCA,6,64,0.8904156684875488,0.027691995725035667,20
Mixture NCA,6,65,0.8903707265853882,0.027669303119182587,20
Mixture NCA,6,66,0.8903900980949402,0.027691345661878586,20
Mixture NCA,6,67,0.8902842402458191,0.027753105387091637,20
Mixture NCA,6,68,0.89024418592453,0.02776532992720604,20
Mixture NCA,6,69,0.8901758193969727,0.02785751409828663,20
Mixture NCA,6,70,0.8899973630905151,0.02800251916050911,20
Mixture NCA,6,71,0.8899669647216797,0.02792334370315075,20
Mixture NCA,6,72,0.8898479342460632,0.027944117784500122,20
Mixture NCA,6,73,0.889773964881897,0.027947893366217613,20
Mixture NCA,6,74,0.8897255063056946,0.027906324714422226,20
Mixture NCA,6,75,0.8895516395568848,0.028012407943606377,20
Mixture NCA,6,76,0.8894374966621399,0.028017058968544006,20
Mixture NCA,6,77,0.8892423510551453,0.02808697707951069,20
Mixture NCA,6,78,0.8891878128051758,0.028063645586371422,20
Mixture NCA,6,79,0.8891780972480774,0.028044287115335464,20
Mixture NCA,6,80,0.8890832662582397,0.028072096407413483,20
Mixture NCA,6,81,0.8890188932418823,0.028143223375082016,20
Mixture NCA,6,82,0.8889528512954712,0.02816385217010975,20
Mixture NCA,6,83,0.8889819383621216,0.028169741854071617,20
