Model Type,Neighborhood Size,Step Length,Evaluation,Simulation,KL Divergence,Chi-Square,Categorical MMD,Tumor Size Diff,Border Size Diff,Spatial Variance Diff
Mixture NCA,6,25,0,0,0.5630276203155518,0.2936078906059265,0.6422221660614014,0.21514630317687988,0.1701815277338028,0.6038190126419067
Mixture NCA,6,25,0,1,0.3763672411441803,0.21012720465660095,0.7933332920074463,0.52628093957901,0.10010678321123123,0.057714831084012985
Mixture NCA,6,25,0,2,0.4830057919025421,0.2730070948600769,0.804444432258606,0.7910763621330261,0.2702883183956146,0.4893161952495575
Mixture NCA,6,25,0,3,0.283858060836792,0.17903032898902893,0.31333327293395996,0.2714153230190277,0.1301388144493103,0.67253178358078
Mixture NCA,6,25,0,4,0.3360828459262848,0.26211676001548767,1.0844444036483765,0.9797431230545044,0.1301388144493103,0.30158713459968567
Mixture NCA,6,25,0,5,0.5821610689163208,0.315304160118103,0.7555555105209351,0.2714153230190277,0.3003203570842743,0.6821147203445435
Mixture NCA,6,25,0,6,0.1315649151802063,0.11876174807548523,0.5066666603088379,0.3045147657394409,0.11011746525764465,0.05794554948806763
Mixture NCA,6,25,0,7,0.43155285716056824,0.22897574305534363,0.7444443702697754,0.5362107753753662,0.250266969203949,0.08576971292495728
Mixture NCA,6,25,0,8,1.6206450462341309,0.2524712085723877,0.7377777099609375,0.7745266556739807,0.2602776288986206,0.48862436413764954
Mixture NCA,6,25,0,9,2.370896577835083,0.2873738408088684,0.7311110496520996,0.4402224123477936,0.04004271328449249,0.5393547415733337
Mixture NCA,6,25,0,10,1.597015142440796,0.3083037734031677,0.5199999809265137,0.2449357807636261,0.1301388144493103,0.21640275418758392
Mixture NCA,6,25,0,11,0.22887775301933289,0.1722370684146881,0.7599999904632568,0.916854202747345,0.45048052072525024,0.07511031627655029
Mixture NCA,6,25,0,12,0.33941376209259033,0.23480674624443054,0.37555551528930664,0.11584800481796265,0.16017085313796997,0.4232361614704132
Mixture NCA,6,25,0,13,0.44250327348709106,0.28138190507888794,0.5711110830307007,0.31444457173347473,0.1301388144493103,0.18660002946853638
Mixture NCA,6,25,0,14,0.5862464904785156,0.311643123626709,0.6155555248260498,0.42367270588874817,0.10010678321123123,0.7856193780899048
Mixture NCA,6,25,0,15,0.3939054012298584,0.23305150866508484,0.8222222328186035,0.34754401445388794,0.1301388144493103,0.1202908307313919
Mixture NCA,6,25,0,16,2.0956509113311768,0.23914560675621033,0.644444465637207,0.19528663158416748,0.06006406992673874,0.05934831127524376
Mixture NCA,6,25,0,17,0.5750718116760254,0.2904253602027893,0.8288888931274414,0.4269826412200928,0.18019220232963562,0.1914481520652771
Mixture NCA,6,25,0,18,2.7745158672332764,0.29666274785995483,0.8444443941116333,0.6950880289077759,0.32034170627593994,0.13035252690315247
Mixture NCA,6,25,0,19,0.786145806312561,0.34007924795150757,0.713333249092102,0.2449357807636261,0.050053391605615616,0.47552862763404846
