Neighborhood Size,Mean Time (s),Std Time (s),Time per Step (ms),Theoretical O(n²),Normalized Time
3,0.02265162467956543,0.005387657020820701,0.6471892765590123,9,0.0025168471866183813
4,0.020966148376464842,0.002506178863959474,0.5990328107561383,16,0.002329572041829427
5,0.030696725845336913,0.014451182695371236,0.8770493098667689,25,0.0034107473161485457
6,0.024897193908691405,0.0009804740975691418,0.7113483973911829,36,0.0027663548787434894
7,0.021650171279907225,0.0029605518462402594,0.6185763222830636,49,0.002405574586656358
