Model Type,Neighborhood Size,Step Length,Evaluation,Simulation,KL Divergence,Chi-Square,Categorical MMD,Tumor Size Diff,Border Size Diff,Spatial Variance Diff
Mixture NCA,1,25,0,0,8.846688270568848,1.264632225036621,0.4711110591888428,0.6884681582450867,0.6006407141685486,0.45549145340919495
Mixture NCA,1,25,0,1,9.44790267944336,1.4151573181152344,0.644444465637207,0.9532635807991028,0.6306727528572083,0.9021610021591187
Mixture NCA,1,25,0,2,14.594717025756836,1.5586206912994385,0.8333332538604736,1.2412285804748535,0.8909503817558289,1.1453512907028198
Mixture NCA,1,25,0,3,15.115256309509277,1.6470587253570557,0.25777769088745117,0.38395339250564575,0.500533938407898,0.3446402847766876
Mixture NCA,1,25,0,4,9.630969047546387,1.2183923721313477,1.0222222805023193,1.5093339681625366,0.7608115673065186,1.1787370443344116
Mixture NCA,1,25,0,5,9.734149932861328,1.3463246822357178,0.5222221612930298,0.7712167501449585,0.6006407141685486,0.5372169613838196
Mixture NCA,1,25,0,6,10.194863319396973,1.3821275234222412,0.41999995708465576,0.6222692728042603,0.6106513738632202,0.6003946661949158
Mixture NCA,1,25,0,7,9.58384895324707,1.384042739868164,0.6244443655014038,0.9234740734100342,0.8308863043785095,0.6400438547134399
Mixture NCA,1,25,0,8,15.218975067138672,1.6610169410705566,0.695555567741394,1.0360121726989746,0.8408969640731812,1.046534776687622
Mixture NCA,1,25,0,9,14.152368545532227,1.4842405319213867,0.6155555248260498,0.916854202747345,0.7908436059951782,0.9227634072303772
Mixture NCA,1,25,0,10,15.280466079711914,1.6717948913574219,0.37111103534698486,0.5527604818344116,0.5505872964859009,0.49750104546546936
Mixture NCA,1,25,0,11,14.52573299407959,1.547738790512085,0.7377777099609375,1.0989010334014893,0.8709290027618408,1.3313215970993042
Mixture NCA,1,25,0,12,9.659740447998047,1.15681791305542,0.25999999046325684,0.37402355670928955,0.3904164433479309,0.16810542345046997
Mixture NCA,1,25,0,13,9.385786056518555,1.2782201766967773,0.46888887882232666,0.6950880289077759,0.6807261109352112,0.5022366642951965
Mixture NCA,1,25,0,14,8.673330307006836,1.2490956783294678,0.47555553913116455,0.7017078995704651,0.6306727528572083,0.42738407850265503
Mixture NCA,1,25,0,15,14.628978729248047,1.563218355178833,0.6355555057525635,0.9466437101364136,0.7508008480072021,0.9209055304527283
Mixture NCA,1,25,0,16,9.093896865844727,1.2871038913726807,0.5399999618530273,0.7976962924003601,0.6907368302345276,0.589925229549408
Mixture NCA,1,25,0,17,13.928913116455078,1.452054738998413,0.6422221660614014,0.9565735459327698,0.8909503817558289,0.9823404550552368
Mixture NCA,1,25,0,18,14.516013145446777,1.544041395187378,0.7088888883590698,1.055871844291687,0.8809397220611572,1.1133149862289429
Mixture NCA,1,25,0,19,9.047099113464355,1.207972764968872,0.5022221803665161,0.7348073720932007,0.5806193351745605,0.42531830072402954
Mixture NCA,1,25,0,20,9.170114517211914,1.3769330978393555,0.6577777862548828,0.9731232523918152,0.9109717011451721,0.7747273445129395
Mixture NCA,1,25,0,21,13.610862731933594,1.3969229459762573,0.5622222423553467,0.8374155759811401,0.6306727528572083,0.8016912341117859
