Model Type,Neighborhood Size,Time Step,Mean Entropy,Std Entropy,N Samples
Mixture NCA,1,33,0.2360488474369049,0.0010487197432667017,20
Mixture NCA,1,34,0.23604092001914978,0.0010543677490204573,20
Mixture NCA,1,35,0.23603565990924835,0.0010600545210763812,20
Mixture NCA,1,36,0.23603197932243347,0.001065118471160531,20
Mixture NCA,1,37,0.23602882027626038,0.0010700235143303871,20
Mixture NCA,1,38,0.23602354526519775,0.0010731209767982364,20
Mixture NCA,1,39,0.23602354526519775,0.0010754887480288744,20
Mixture NCA,1,40,0.23602250218391418,0.0010785378981381655,20
Mixture NCA,1,41,0.23601987957954407,0.0010822588810697198,20
Mixture NCA,1,42,0.23601777851581573,0.0010846005752682686,20
Mixture NCA,1,43,0.23601672053337097,0.0010856467997655272,20
Mixture NCA,1,44,0.23601460456848145,0.0010897002648562193,20
Mixture NCA,1,45,0.23601040244102478,0.0010926331160590053,20
Mixture NCA,1,46,0.23600776493549347,0.001095164567232132,20
Mixture NCA,1,47,0.23600879311561584,0.0010920712957158685,20
Mixture NCA,1,48,0.23600459098815918,0.0010939609492197633,20
Mixture NCA,1,49,0.2360008955001831,0.0010956748155876994,20
Mixture NCA,1,50,0.235998272895813,0.0010968843707814813,20
Mixture NCA,1,51,0.23599617183208466,0.0010964618995785713,20
Mixture NCA,1,52,0.23599565029144287,0.001096120453439653,20
Mixture NCA,1,53,0.23599407076835632,0.0010960422223433852,20
Mixture NCA,1,54,0.2359950989484787,0.001095047453418374,20
Mixture NCA,1,55,0.2359951287508011,0.0010964162647724152,20
Mixture NCA,1,56,0.23599353432655334,0.001096945721656084,20
Mixture NCA,1,57,0.2359950989484787,0.0010968876304104924,20
Mixture NCA,1,58,0.23599405586719513,0.0010955408215522766,20
Mixture NCA,1,59,0.23599354922771454,0.001096527324989438,20
Mixture NCA,1,60,0.23599407076835632,0.0010961998486891389,20
Mixture NCA,1,61,0.2359919548034668,0.0010951170697808266,20
Mixture NCA,1,62,0.2359919548034668,0.001096614170819521,20
Mixture NCA,1,63,0.23599250614643097,0.0010983459651470184,20
Mixture NCA,1,64,0.23599091172218323,0.0010978344362229109,20
Mixture NCA,1,65,0.23599037528038025,0.0010966862319037318,20
Mixture NCA,1,66,0.23599250614643097,0.001097728731110692,20
Mixture NCA,1,67,0.23599091172218323,0.0010981425875797868,20
Mixture NCA,1,68,0.235991433262825,0.00109518738463521,20
Mixture NCA,1,69,0.2359888106584549,0.0010986970737576485,20
Mixture NCA,1,70,0.235985666513443,0.00110166787635535,20
Mixture NCA,1,71,0.23598405718803406,0.0011021066457033157,20
Mixture NCA,1,72,0.23598143458366394,0.001102857175283134,20
Mixture NCA,1,73,0.2359793484210968,0.0011035468196496367,20
Mixture NCA,1,74,0.23597881197929382,0.0010994450422003865,20
Mixture NCA,1,75,0.23597672581672668,0.0011025142157450318,20
Mixture NCA,1,76,0.2359761744737625,0.0011019213125109673,20
Mixture NCA,1,77,0.2359703779220581,0.0011033362243324518,20
Mixture NCA,1,78,0.23596879839897156,0.001104121096432209,20
Mixture NCA,1,79,0.235967755317688,0.0011029117740690708,20
Mixture NCA,1,80,0.23596616089344025,0.001100564026273787,20
Mixture NCA,1,81,0.23596513271331787,0.0011032359907403588,20
Mixture NCA,1,82,0.23596195876598358,0.0011038394877687097,20
Mixture NCA,1,83,0.23596301674842834,0.0011034510098397732,20
Mixture NCA,1,84,0.23596355319023132,0.0011029712622985244,20
Mixture NCA,1,85,0.23596195876598358,0.0011045384453609586,20
Mixture NCA,1,86,0.2359614372253418,0.0011037348303943872,20
Mixture NCA,1,87,0.23595985770225525,0.0011044875718653202,20
Mixture NCA,1,88,0.2359609305858612,0.0011028689332306385,20
Mixture NCA,1,89,0.23596251010894775,0.001103926682844758,20
Mixture NCA,1,90,0.23596146702766418,0.001104404916986823,20
Mixture NCA,1,91,0.23596198856830597,0.001103966380469501,20
Mixture NCA,1,92,0.23596146702766418,0.0011037744116038084,20
Mixture NCA,1,93,0.23596146702766418,0.0011031030444428325,20
Mixture NCA,1,94,0.2359609305858612,0.0011028654407709837,20
Mixture NCA,1,95,0.23596146702766418,0.0011044549755752087,20
Mixture NCA,1,96,0.2359609305858612,0.0011034839553758502,20
Mixture NCA,1,97,0.2359609603881836,0.001104841474443674,20
Mixture NCA,1,98,0.23596146702766418,0.0011052184272557497,20
Mixture NCA,1,99,0.23595884442329407,0.0011075607035309076,20
Mixture NCA,1,100,0.23595884442329407,0.00110661331564188,20
Mixture NCA,2,0,0.9467531442642212,0.006536597386002541,20
Mixture NCA,2,1,0.9346405863761902,0.009873536415398121,20
Mixture NCA,2,2,0.9180797338485718,0.013556433841586113,20
Mixture NCA,2,3,0.8972314596176147,0.017081450670957565,20
Mixture NCA,2,4,0.8733817934989929,0.02124030701816082,20
Mixture NCA,2,5,0.850068211555481,0.024347545579075813,20
Mixture NCA,2,6,0.8285766839981079,0.02674158662557602,20
Mixture NCA,2,7,0.8096041679382324,0.028426669538021088,20
Mixture NCA,2,8,0.7925609946250916,0.03011511079967022,20
Mixture NCA,2,9,0.7764825224876404,0.03314463049173355,20
Mixture NCA,2,10,0.7618513107299805,0.036585837602615356,20
Mixture NCA,2,11,0.7480238676071167,0.04098828136920929,20
Mixture NCA,2,12,0.7347323298454285,0.04450554773211479,20
Mixture NCA,2,13,0.7218695878982544,0.04767278954386711,20
Mixture NCA,2,14,0.7096500396728516,0.052510228008031845,20
Mixture NCA,2,15,0.6982344388961792,0.05730317160487175,20
Mixture NCA,2,16,0.6877298951148987,0.06272588670253754,20
Mixture NCA,2,17,0.6785115599632263,0.06755402684211731,20
Mixture NCA,2,18,0.6703115701675415,0.0723058357834816,20
Mixture NCA,2,19,0.662647545337677,0.07739613205194473,20
Mixture NCA,2,20,0.6549299359321594,0.08246694505214691,20
Mixture NCA,2,21,0.6479089260101318,0.08743301033973694,20
Mixture NCA,2,22,0.6420135498046875,0.09182168543338776,20
Mixture NCA,2,23,0.6368684768676758,0.09546978026628494,20
Mixture NCA,2,24,0.6327952742576599,0.09848152846097946,20
Mixture NCA,2,25,0.6300619840621948,0.10034704953432083,20
Mixture NCA,2,26,0.6278645396232605,0.10162828862667084,20
Mixture NCA,2,27,0.6259351968765259,0.10268806666135788,20
Mixture NCA,2,28,0.6243809461593628,0.10368020087480545,20
Mixture NCA,2,29,0.623201847076416,0.10433908551931381,20
Mixture NCA,2,30,0.6220227479934692,0.10452815145254135,20
Mixture NCA,2,31,0.6208972334861755,0.10496130585670471,20
Mixture NCA,2,32,0.6197181940078735,0.1054818332195282,20
Mixture NCA,2,33,0.6185390949249268,0.1066669300198555,20
Mixture NCA,2,34,0.6177351474761963,0.10724198073148727,20
Mixture NCA,2,35,0.6171993017196655,0.10782083868980408,20
Mixture NCA,2,36,0.6168240904808044,0.10833529382944107,20
Mixture NCA,2,37,0.6165025234222412,0.10883410274982452,20
Mixture NCA,2,38,0.6159666180610657,0.10914824157953262,20
Mixture NCA,2,39,0.6159666180610657,0.10938902944326401,20
Mixture NCA,2,40,0.6158593893051147,0.1096990779042244,20
Mixture NCA,2,41,0.6155914068222046,0.11007683724164963,20
Mixture NCA,2,42,0.6153770685195923,0.11031446605920792,20
Mixture NCA,2,43,0.6152698397636414,0.11042017489671707,20
Mixture NCA,2,44,0.6150554418563843,0.11083280295133591,20
Mixture NCA,2,45,0.6146267056465149,0.11113086342811584,20
Mixture NCA,2,46,0.6143587231636047,0.11138845235109329,20
Mixture NCA,2,47,0.6144658923149109,0.11107371747493744,20
Mixture NCA,2,48,0.6140371561050415,0.11126667261123657,20
Mixture NCA,2,49,0.6136619448661804,0.11144169420003891,20
Mixture NCA,2,50,0.613394021987915,0.11156449466943741,20
Mixture NCA,2,51,0.6131796836853027,0.11152206361293793,20
Mixture NCA,2,52,0.6131260991096497,0.11148729920387268,20
Mixture NCA,2,53,0.6129652857780457,0.11147919297218323,20
Mixture NCA,2,54,0.6130725145339966,0.11137721687555313,20
Mixture NCA,2,55,0.6130725145339966,0.11151639372110367,20
Mixture NCA,2,56,0.6129117012023926,0.11157002300024033,20
Mixture NCA,2,57,0.6130725145339966,0.1115637719631195,20
Mixture NCA,2,58,0.6129652857780457,0.11142662167549133,20
Mixture NCA,2,59,0.6129117012023926,0.11152779310941696,20
Mixture NCA,2,60,0.6129652857780457,0.11149465292692184,20
Mixture NCA,2,61,0.6127508878707886,0.1113843321800232,20
Mixture NCA,2,62,0.6127508878707886,0.1115368902683258,20
Mixture NCA,2,63,0.6128045320510864,0.11171282082796097,20
Mixture NCA,2,64,0.6126437187194824,0.11166105419397354,20
Mixture NCA,2,65,0.6125901341438293,0.1115437000989914,20
Mixture NCA,2,66,0.6128045320510864,0.11165005713701248,20
Mixture NCA,2,67,0.6126437187194824,0.11169243603944778,20
Mixture NCA,2,68,0.6126973032951355,0.11139161139726639,20
Mixture NCA,2,69,0.6124293208122253,0.11174838244915009,20
Mixture NCA,2,70,0.6121077537536621,0.11205087602138519,20
Mixture NCA,2,71,0.6119469404220581,0.1120956763625145,20
Mixture NCA,2,72,0.611678957939148,0.1121717020869255,20
Mixture NCA,2,73,0.6114646196365356,0.11224142462015152,20
Mixture NCA,2,74,0.6114109754562378,0.11182450503110886,20
Mixture NCA,2,75,0.6111966371536255,0.11213754862546921,20
Mixture NCA,2,76,0.6111429929733276,0.11207742244005203,20
Mixture NCA,2,77,0.6105534434318542,0.11222194135189056,20
Mixture NCA,2,78,0.610392689704895,0.11230181902647018,20
Mixture NCA,2,79,0.6102855801582336,0.11217886954545975,20
Mixture NCA,2,80,0.6101247072219849,0.11193962395191193,20
Mixture NCA,2,81,0.6100175380706787,0.11221146583557129,20
Mixture NCA,2,82,0.6096959710121155,0.11227323114871979,20
Mixture NCA,2,83,0.6098031401634216,0.1122339740395546,20
Mixture NCA,2,84,0.6098567247390747,0.11218459904193878,20
Mixture NCA,2,85,0.6096959710121155,0.11234383285045624,20
Mixture NCA,2,86,0.6096423864364624,0.11226211488246918,20
Mixture NCA,2,87,0.6094815731048584,0.1123385950922966,20
Mixture NCA,2,88,0.6095887422561646,0.11217417567968369,20
Mixture NCA,2,89,0.6097495555877686,0.11228227615356445,20
Mixture NCA,2,90,0.6096423864364624,0.11233117431402206,20
Mixture NCA,2,91,0.6096960306167603,0.1122865229845047,20
Mixture NCA,2,92,0.6096423864364624,0.11226723343133926,20
Mixture NCA,2,93,0.6096423864364624,0.11219915002584457,20
Mixture NCA,2,94,0.6095888018608093,0.11217519640922546,20
Mixture NCA,2,95,0.6096423864364624,0.11233679950237274,20
Mixture NCA,2,96,0.6095888018608093,0.11223816871643066,20
Mixture NCA,2,97,0.6095888018608093,0.11237680166959763,20
Mixture NCA,2,98,0.6096423864364624,0.11241501569747925,20
Mixture NCA,2,99,0.6093744039535522,0.1126532256603241,20
Mixture NCA,2,100,0.6093744039535522,0.11255679279565811,20
Mixture NCA,3,0,1.779565453529358,0.012286528944969177,20
Mixture NCA,3,1,1.7567983865737915,0.01855875365436077,20
Mixture NCA,3,2,1.7256696224212646,0.025481348857283592,20
Mixture NCA,3,3,1.6864821910858154,0.032107163220644,20
Mixture NCA,3,4,1.6416534185409546,0.03992432355880737,20
Mixture NCA,3,5,1.597832202911377,0.045764803886413574,20
Mixture NCA,3,6,1.557436227798462,0.050264738500118256,20
Mixture NCA,3,7,1.5217748880386353,0.05343208461999893,20
Mixture NCA,3,8,1.489740014076233,0.05660579353570938,20
Mixture NCA,3,9,1.459518551826477,0.06230023875832558,20
Mixture NCA,3,10,1.4320169687271118,0.06876838207244873,20
Mixture NCA,3,11,1.4060266017913818,0.07704341411590576,20
Mixture NCA,3,12,1.3810434341430664,0.08365454524755478,20
Mixture NCA,3,13,1.3568662405014038,0.08960782736539841,20
Mixture NCA,3,14,1.3338980674743652,0.09870047122240067,20
Mixture NCA,3,15,1.3124406337738037,0.10770943015813828,20
Mixture NCA,3,16,1.2926961183547974,0.11790213733911514,20
Mixture NCA,3,17,1.2753691673278809,0.12697723507881165,20
Mixture NCA,3,18,1.2599561214447021,0.13590888679027557,20
Mixture NCA,3,19,1.245550513267517,0.14547677338123322,20
Mixture NCA,3,20,1.2310442924499512,0.15500801801681519,20
Mixture NCA,3,21,1.2178475856781006,0.16434237360954285,20
Mixture NCA,3,22,1.2067663669586182,0.172591432929039,20
Mixture NCA,3,23,1.197095513343811,0.17944854497909546,20
Mixture NCA,3,24,1.1894394159317017,0.1851094514131546,20
Mixture NCA,3,25,1.184301733970642,0.18861594796180725,20
Mixture NCA,3,26,1.1801716089248657,0.19102418422698975,20
Mixture NCA,3,27,1.1765450239181519,0.1930161863565445,20
Mixture NCA,3,28,1.1736235618591309,0.19488103687763214,20
Mixture NCA,3,29,1.1714073419570923,0.196119487285614,20
Mixture NCA,3,30,1.1691911220550537,0.1964748650789261,20
Mixture NCA,3,31,1.1670756340026855,0.19728903472423553,20
Mixture NCA,3,32,1.1648592948913574,0.19826744496822357,20
Mixture NCA,3,33,1.1626431941986084,0.20049497485160828,20
Mixture NCA,3,34,1.1611319780349731,0.2015758901834488,20
Mixture NCA,3,35,1.1601245403289795,0.20266391336917877,20
Mixture NCA,3,36,1.1594195365905762,0.20363090932369232,20
Mixture NCA,3,37,1.1588150262832642,0.20456844568252563,20
Mixture NCA,3,38,1.15780770778656,0.20515891909599304,20
Mixture NCA,3,39,1.1578075885772705,0.20561151206493378,20
Mixture NCA,3,40,1.1576061248779297,0.20619428157806396,20
Mixture NCA,3,41,1.1571025848388672,0.2069043666124344,20
Mixture NCA,3,42,1.156699538230896,0.2073509842157364,20
Mixture NCA,3,43,1.1564981937408447,0.20754970610141754,20
Mixture NCA,3,44,1.156095027923584,0.2083253115415573,20
Mixture NCA,3,45,1.1552891731262207,0.20888552069664001,20
Mixture NCA,3,46,1.154785394668579,0.2093696892261505,20
Mixture NCA,3,47,1.154987096786499,0.20877811312675476,20
Mixture NCA,3,48,1.1541810035705566,0.209140807390213,20
Mixture NCA,3,49,1.1534758806228638,0.2094697505235672,20
Mixture NCA,3,50,1.1529721021652222,0.2097005993127823,20
Mixture NCA,3,51,1.1525691747665405,0.20962083339691162,20
Mixture NCA,3,52,1.1524684429168701,0.2095554918050766,20
Mixture NCA,3,53,1.1521663665771484,0.2095402479171753,20
Mixture NCA,3,54,1.1523678302764893,0.20934855937957764,20
Mixture NCA,3,55,1.1523678302764893,0.20961016416549683,20
Mixture NCA,3,56,1.152065634727478,0.209710955619812,20
Mixture NCA,3,57,1.1523678302764893,0.20969922840595245,20
Mixture NCA,3,58,1.1521663665771484,0.2094414383172989,20
Mixture NCA,3,59,1.1520655155181885,0.20963159203529358,20
Mixture NCA,3,60,1.1521663665771484,0.2095693051815033,20
Mixture NCA,3,61,1.1517634391784668,0.2093619406223297,20
Mixture NCA,3,62,1.1517633199691772,0.2096487283706665,20
Mixture NCA,3,63,1.1518640518188477,0.20997938513755798,20
Mixture NCA,3,64,1.1515618562698364,0.20988209545612335,20
Mixture NCA,3,65,1.1514610052108765,0.20966151356697083,20
Mixture NCA,3,66,1.1518641710281372,0.20986142754554749,20
Mixture NCA,3,67,1.151561975479126,0.2099410891532898,20
Mixture NCA,3,68,1.1516625881195068,0.20937564969062805,20
Mixture NCA,3,69,1.1511589288711548,0.21004624664783478,20
Mixture NCA,3,70,1.1505545377731323,0.21061483025550842,20
Mixture NCA,3,71,1.1502522230148315,0.21069903671741486,20
Mixture NCA,3,72,1.1497485637664795,0.21084192395210266,20
Mixture NCA,3,73,1.1493456363677979,0.21097297966480255,20
Mixture NCA,3,74,1.149245023727417,0.2101893275976181,20
Mixture NCA,3,75,1.1488419771194458,0.21077772974967957,20
Mixture NCA,3,76,1.1487411260604858,0.21066471934318542,20
Mixture NCA,3,77,1.1476330757141113,0.21093636751174927,20
Mixture NCA,3,78,1.1473307609558105,0.2110864818096161,20
Mixture NCA,3,79,1.1471292972564697,0.2108553946018219,20
Mixture NCA,3,80,1.146827220916748,0.21040572226047516,20
Mixture NCA,3,81,1.1466256380081177,0.2109166532754898,20
Mixture NCA,3,82,1.1460211277008057,0.21103276312351227,20
Mixture NCA,3,83,1.1462228298187256,0.21095898747444153,20
Mixture NCA,3,84,1.1463234424591064,0.21086619794368744,20
Mixture NCA,3,85,1.1460211277008057,0.2111654430627823,20
Mixture NCA,3,86,1.1459205150604248,0.2110118865966797,20
Mixture NCA,3,87,1.145618200302124,0.21115565299987793,20
Mixture NCA,3,88,1.1458197832107544,0.21084658801555634,20
Mixture NCA,3,89,1.146121859550476,0.21104978024959564,20
Mixture NCA,3,90,1.1459203958511353,0.2111416757106781,20
Mixture NCA,3,91,1.1460211277008057,0.21105778217315674,20
Mixture NCA,3,92,1.1459203958511353,0.21102149784564972,20
Mixture NCA,3,93,1.1459205150604248,0.21089354157447815,20
Mixture NCA,3,94,1.1458197832107544,0.21084852516651154,20
Mixture NCA,3,95,1.1459205150604248,0.21115227043628693,20
Mixture NCA,3,96,1.1458196640014648,0.21096687018871307,20
Mixture NCA,3,97,1.1458197832107544,0.21122746169567108,20
Mixture NCA,3,98,1.1459203958511353,0.21129930019378662,20
Mixture NCA,3,99,1.1454167366027832,0.21174705028533936,20
Mixture NCA,3,100,1.1454167366027832,0.2115657925605774,20
Mixture NCA,4,0,0.44321656227111816,0.00024331224267371,20
Mixture NCA,4,1,0.4478898048400879,0.0012659848434850574,20
Mixture NCA,4,2,0.4514223635196686,0.002276830608025193,20
Mixture NCA,4,3,0.45567092299461365,0.0027344252448529005,20
Mixture NCA,4,4,0.46074146032333374,0.0038786062505096197,20
Mixture NCA,4,5,0.46691322326660156,0.004749653860926628,20
Mixture NCA,4,6,0.47288522124290466,0.005781554151326418,20
Mixture NCA,4,7,0.4790448248386383,0.006098160520195961,20
Mixture NCA,4,8,0.48415547609329224,0.006181118544191122,20
Mixture NCA,4,9,0.4885733723640442,0.006112848874181509,20
Mixture NCA,4,10,0.49372830986976624,0.0074401190504431725,20
Mixture NCA,4,11,0.4973793923854828,0.008792048320174217,20
Mixture NCA,4,12,0.5010614395141602,0.00991024449467659,20
Mixture NCA,4,13,0.5050710439682007,0.01051515806466341,20
Mixture NCA,4,14,0.5088092088699341,0.012068272568285465,20
Mixture NCA,4,15,0.5121543407440186,0.013137119822204113,20
Mixture NCA,4,16,0.5153396129608154,0.014643494971096516,20
Mixture NCA,4,17,0.5178642272949219,0.016007613390684128,20
Mixture NCA,4,18,0.5202431678771973,0.017845887690782547,20
Mixture NCA,4,19,0.5228620767593384,0.019530106335878372,20
Mixture NCA,4,20,0.5249000787734985,0.020562823861837387,20
Mixture NCA,4,21,0.5269942283630371,0.022009018808603287,20
Mixture NCA,4,22,0.5284367799758911,0.023043351247906685,20
Mixture NCA,4,23,0.5297787189483643,0.024008922278881073,20
Mixture NCA,4,24,0.5308502912521362,0.024828556925058365,20
Mixture NCA,4,25,0.5314373970031738,0.025155706331133842,20
Mixture NCA,4,26,0.5321522951126099,0.025603534653782845,20
Mixture NCA,4,27,0.5326422452926636,0.02594502829015255,20
Mixture NCA,4,28,0.5329771041870117,0.02617315575480461,20
Mixture NCA,4,29,0.5331271290779114,0.02641754038631916,20
Mixture NCA,4,30,0.5332732796669006,0.02654150128364563,20
Mixture NCA,4,31,0.5335184931755066,0.026621544733643532,20
Mixture NCA,4,32,0.5337945222854614,0.02662515640258789,20
Mixture NCA,4,33,0.5341581106185913,0.026929179206490517,20
Mixture NCA,4,34,0.534294843673706,0.0269924383610487,20
Mixture NCA,4,35,0.5344406962394714,0.027034161612391472,20
Mixture NCA,4,36,0.5346511006355286,0.027289465069770813,20
Mixture NCA,4,37,0.5347684621810913,0.02750767394900322,20
Mixture NCA,4,38,0.5350109338760376,0.027725184336304665,20
Mixture NCA,4,39,0.5349224209785461,0.027754489332437515,20
Mixture NCA,4,40,0.534870982170105,0.02781239151954651,20
Mixture NCA,4,41,0.5349022746086121,0.02803724817931652,20
Mixture NCA,4,42,0.5349664092063904,0.028160104528069496,20
Mixture NCA,4,43,0.5349048376083374,0.02819334901869297,20
Mixture NCA,4,44,0.534968912601471,0.028292516246438026,20
Mixture NCA,4,45,0.5350527763366699,0.02844291739165783,20
Mixture NCA,4,46,0.5350740551948547,0.028565889224410057,20
Mixture NCA,4,47,0.5350269079208374,0.02841765061020851,20
Mixture NCA,4,48,0.5351394414901733,0.028343694284558296,20
Mixture NCA,4,49,0.5352683663368225,0.02835782989859581,20
Mixture NCA,4,50,0.535368025302887,0.028443152084946632,20
Mixture NCA,4,51,0.5353738069534302,0.02835400216281414,20
Mixture NCA,4,52,0.5354015827178955,0.028352433815598488,20
Mixture NCA,4,53,0.5354743003845215,0.02837987244129181,20
Mixture NCA,4,54,0.5354714393615723,0.028426745906472206,20
Mixture NCA,4,55,0.5354613661766052,0.028447739779949188,20
Mixture NCA,4,56,0.5354897975921631,0.028507327660918236,20
Mixture NCA,4,57,0.5354512929916382,0.028553633019328117,20
Mixture NCA,4,58,0.5354099273681641,0.028499620035290718,20
Mixture NCA,4,59,0.5353429913520813,0.028463857248425484,20
Mixture NCA,4,60,0.5351846218109131,0.028422851115465164,20
Mixture NCA,4,61,0.5352588295936584,0.02836383692920208,20
Mixture NCA,4,62,0.5352144837379456,0.02834552340209484,20
Mixture NCA,4,63,0.5351768732070923,0.02845192700624466,20
Mixture NCA,4,64,0.5351797938346863,0.028397344052791595,20
Mixture NCA,4,65,0.5351711511611938,0.028391527011990547,20
Mixture NCA,4,66,0.5350286364555359,0.028424520045518875,20
Mixture NCA,4,67,0.535071074962616,0.028368240222334862,20
Mixture NCA,4,68,0.5349912047386169,0.028175007551908493,20
Mixture NCA,4,69,0.5350387692451477,0.02833424136042595,20
Mixture NCA,4,70,0.5350855588912964,0.028376951813697815,20
Mixture NCA,4,71,0.5351125597953796,0.028425229713320732,20
Mixture NCA,4,72,0.5351679921150208,0.028503619134426117,20
Mixture NCA,4,73,0.5352320671081543,0.02857806347310543,20
Mixture NCA,4,74,0.5351651310920715,0.028346285223960876,20
Mixture NCA,4,75,0.535034716129303,0.028350187465548515,20
Mixture NCA,4,76,0.5349134206771851,0.028317494317889214,20
Mixture NCA,4,77,0.5350217223167419,0.028300203382968903,20
Mixture NCA,4,78,0.5350844860076904,0.028380250558257103,20
Mixture NCA,4,79,0.535155713558197,0.028286514803767204,20
Mixture NCA,4,80,0.5351740121841431,0.028140712529420853,20
Mixture NCA,4,81,0.53516685962677,0.028238266706466675,20
Mixture NCA,4,82,0.5352980494499207,0.028216110542416573,20
Mixture NCA,4,83,0.5352253317832947,0.028149625286459923,20
Mixture NCA,4,84,0.5351454019546509,0.02816169522702694,20
Mixture NCA,4,85,0.5351397395133972,0.028212033212184906,20
Mixture NCA,4,86,0.5351070165634155,0.02819625288248062,20
Mixture NCA,4,87,0.5351455211639404,0.02826358936727047,20
Mixture NCA,4,88,0.5350742340087891,0.0281712356954813,20
Mixture NCA,4,89,0.5349332094192505,0.02814522385597229,20
Mixture NCA,4,90,0.5349360704421997,0.028159204870462418,20
Mixture NCA,4,91,0.5349003672599792,0.028139013797044754,20
Mixture NCA,4,92,0.5349360108375549,0.02807452715933323,20
Mixture NCA,4,93,0.5348839163780212,0.028011417016386986,20
Mixture NCA,4,94,0.5348511934280396,0.027991732582449913,20
Mixture NCA,4,95,0.5347713232040405,0.028035391122102737,20
Mixture NCA,4,96,0.5348069071769714,0.027968628332018852,20
Mixture NCA,4,97,0.5347384810447693,0.027951175346970558,20
Mixture NCA,4,98,0.5345801711082458,0.027911100536584854,20
Mixture NCA,4,99,0.5345672369003296,0.027999913319945335,20
Mixture NCA,4,100,0.5346013307571411,0.02792520448565483,20
Mixture NCA,5,0,1.0556323528289795,0.00839020311832428,20
Mixture NCA,5,1,1.0400850772857666,0.01267343107610941,20
Mixture NCA,5,2,1.0188281536102295,0.01740068756043911,20
Mixture NCA,5,3,0.9920681118965149,0.02192532829940319,20
Mixture NCA,5,4,0.9614561796188354,0.02726338617503643,20
Mixture NCA,5,5,0.9315325021743774,0.031251631677150726,20
Mixture NCA,5,6,0.9039479494094849,0.03432442992925644,20
Mixture NCA,5,7,0.8795965909957886,0.03648729249835014,20
Mixture NCA,5,8,0.8577215075492859,0.038654625415802,20
Mixture NCA,5,9,0.8370847702026367,0.042543232440948486,20
Mixture NCA,5,10,0.8183053731918335,0.0469600148499012,20
Mixture NCA,5,11,0.8005577325820923,0.0526106096804142,20
Mixture NCA,5,12,0.7834979891777039,0.0571250393986702,20
Mixture NCA,5,13,0.7669885158538818,0.06119031086564064,20
Mixture NCA,5,14,0.7513046264648438,0.06739925593137741,20
Mixture NCA,5,15,0.736721396446228,0.07353445887565613,20
Mixture NCA,5,16,0.7235138416290283,0.0803239643573761,20
Mixture NCA,5,17,0.7119571566581726,0.08624905347824097,20
Mixture NCA,5,18,0.701776385307312,0.09172932803630829,20
Mixture NCA,5,19,0.6925585865974426,0.09768301248550415,20
Mixture NCA,5,20,0.6835472583770752,0.10312224179506302,20
Mixture NCA,5,21,0.6756364107131958,0.10821126401424408,20
Mixture NCA,5,22,0.6691702604293823,0.11270248889923096,20
Mixture NCA,5,23,0.6635982990264893,0.11612112075090408,20
Mixture NCA,5,24,0.6599525213241577,0.11850350350141525,20
Mixture NCA,5,25,0.6572008728981018,0.12012561410665512,20
Mixture NCA,5,26,0.6547244787216187,0.12151596695184708,20
Mixture NCA,5,27,0.6529359817504883,0.12229321897029877,20
Mixture NCA,5,28,0.6514226198196411,0.12325828522443771,20
