Model Type,Neighborhood Size,Step Length,Evaluation,Simulation,KL Divergence,Chi-Square,Categorical MMD,Tumor Size Diff,Border Size Diff,Spatial Variance Diff
Mixture NCA,5,25,0,0,0.01789919286966324,0.01773802936077118,0.37777769565582275,0.16880708932876587,0.08008542656898499,0.17495860159397125
Mixture NCA,5,25,0,1,0.05496487021446228,0.052487123757600784,0.5777777433395386,0.3276843726634979,0.15016017854213715,0.4721827208995819
Mixture NCA,5,25,0,2,0.00824921578168869,0.008245689794421196,0.7866666316986084,0.6520587801933289,0.3103310167789459,0.604271650314331
Mixture NCA,5,25,0,3,0.02117905020713806,0.020892005413770676,0.3088887929916382,0.18535681068897247,0.16017085313796997,0.19611011445522308
Mixture NCA,5,25,0,4,0.028048306703567505,0.02492418698966503,0.9088888168334961,0.9929829239845276,0.4204484820365906,0.9939004182815552
Mixture NCA,5,25,0,5,0.08039610087871552,0.0583442747592926,0.397777795791626,0.2780352234840393,0.2102242410182953,0.3289821147918701
Mixture NCA,5,25,0,6,0.04749809205532074,0.04233962297439575,0.48222219944000244,0.019859658554196358,0.07007475197315216,0.00013087021943647414
Mixture NCA,5,25,0,7,0.06942547857761383,0.06050828844308853,0.5044443607330322,0.4865616261959076,0.3904164433479309,0.5753619074821472
Mixture NCA,5,25,0,8,0.030036181211471558,0.029014771804213524,0.662222146987915,0.34092414379119873,0.1301388144493103,0.37029752135276794
Mixture NCA,5,25,0,9,0.09701075404882431,0.07475268840789795,0.48222219944000244,0.44353237748146057,0.32034170627593994,0.5239424705505371
Mixture NCA,5,25,0,10,0.07030826807022095,0.05366234853863716,0.26444435119628906,0.19528663158416748,0.08008542656898499,0.1933669000864029
Mixture NCA,5,25,0,11,0.025288432836532593,0.023546667769551277,0.6711111068725586,0.5395207405090332,0.3403630554676056,0.8311823010444641
Mixture NCA,5,25,0,12,0.016951628029346466,0.01659947820007801,0.2844444513320923,0.18535681068897247,0.28029900789260864,0.23384100198745728
Mixture NCA,5,25,0,13,0.061454229056835175,0.05419253930449486,0.5733332633972168,0.003309943014755845,0.10010678321123123,0.06144902482628822
Mixture NCA,5,25,0,14,0.03929591178894043,0.03711797297000885,0.42444443702697754,0.13570766150951385,0.050053391605615616,0.1598600298166275
Mixture NCA,5,25,0,15,0.07468974590301514,0.06323801726102829,0.5133333206176758,0.4567721486091614,0.3403630554676056,0.5210422873497009
Mixture NCA,5,25,0,16,0.061382830142974854,0.056798312813043594,0.6222221851348877,0.09598834812641144,0.03003203496336937,0.1477474719285965
Mixture NCA,5,25,0,17,0.02584654837846756,0.023798871785402298,0.5911110639572144,0.34092414379119873,0.36038440465927124,0.4054484963417053
Mixture NCA,5,25,0,18,0.06654246151447296,0.05520451068878174,0.5866665840148926,0.479941725730896,0.250266969203949,0.5691298246383667
Mixture NCA,5,25,0,19,0.024400651454925537,0.022563330829143524,0.4599999189376831,0.09267840534448624,0.09009610116481781,0.2227948158979416
Mixture NCA,5,25,0,20,0.027556397020816803,0.02580788917839527,0.5199999809265137,0.35747385025024414,0.32034170627593994,0.38792532682418823
Mixture NCA,5,25,0,21,0.012361885979771614,0.0122436648234725,0.5644444227218628,0.10260823369026184,0.10010678321123123,0.14137651026248932
Mixture NCA,5,25,0,22,0.06771894544363022,0.06078789010643959,0.5733332633972168,0.4402224123477936,0.4204484820365906,0.5333262085914612
Mixture NCA,5,25,0,23,0.021645590662956238,0.020805958658456802,0.48888885974884033,0.3111346364021301,0.10010678321123123,0.2991292476654053
Mixture NCA,5,25,0,24,0.01520548015832901,0.014537960290908813,0.5044443607330322,0.11253806203603745,0.12012813985347748,0.1800776869058609
Mixture NCA,5,25,0,25,0.016395248472690582,0.01516744215041399,0.508888840675354,0.43360254168510437,0.24025627970695496,0.505443811416626
Mixture NCA,5,25,0,26,0.2058725506067276,0.11932311207056046,0.8488888740539551,0.9929829239845276,0.4805125594139099,1.2128139734268188
Mixture NCA,5,25,0,27,0.04231354594230652,0.0380135141313076,0.653333306312561,0.6222692728042603,0.4204484820365906,0.7139654755592346
Mixture NCA,5,25,0,28,0.012167204171419144,0.01163415051996708,0.6488888263702393,0.42036277055740356,0.28029900789260864,0.6249454617500305
Mixture NCA,5,25,0,29,0.056339919567108154,0.04863981902599335,0.46888887882232666,0.33430424332618713,0.32034170627593994,0.40594711899757385
Mixture NCA,5,25,0,30,0.01566246524453163,0.014731248840689659,0.5022221803665161,0.2350059598684311,0.32034170627593994,0.3082604706287384
Mixture NCA,5,25,0,31,0.030221305787563324,0.027945928275585175,0.5155555009841919,0.36740368604660034,0.3003203570842743,0.5290409326553345
Mixture NCA,5,25,0,32,0.016886353492736816,0.016309434548020363,0.5777777433395386,0.33430424332618713,0.10010678321123123,0.4553154408931732
Mixture NCA,5,25,0,33,0.0314861424267292,0.027593374252319336,0.7422221899032593,0.7712167501449585,0.5205552577972412,0.8704622387886047
Mixture NCA,5,25,0,34,0.019570089876651764,0.01951705291867256,0.25333333015441895,0.03309943154454231,0.010010678321123123,0.05110738053917885
Mixture NCA,5,25,0,35,0.055300258100032806,0.04765915870666504,0.4222221374511719,0.14232754707336426,0.08008542656898499,0.1389431357383728
Mixture NCA,5,25,0,36,0.029064364731311798,0.02922109141945839,0.2844444513320923,0.05295908823609352,0.050053391605615616,0.02563684992492199
Mixture NCA,5,25,0,37,0.014877431094646454,0.014144372195005417,0.4933333396911621,0.2416258454322815,0.10010678321123123,0.2854539752006531
Mixture NCA,5,25,0,38,0.06041290611028671,0.04991014674305916,0.3955554962158203,0.00661988602951169,0.08008542656898499,0.0726524069905281
Mixture NCA,5,25,0,39,0.03551618754863739,0.0345989391207695,0.5911110639572144,0.4865616261959076,0.3804057836532593,0.5904268026351929
Mixture NCA,5,25,0,40,0.019515186548233032,0.01965675875544548,0.47555553913116455,0.20521646738052368,0.19020289182662964,0.23578140139579773
Mixture NCA,5,25,0,41,0.04093076288700104,0.03924843296408653,0.6733332872390747,0.5891698598861694,0.500533938407898,0.7216280698776245
Mixture NCA,5,25,0,42,0.03353379666805267,0.031132563948631287,0.7022222280502319,0.7480471134185791,0.4304591715335846,0.7607789039611816
Mixture NCA,5,25,0,43,0.009648397564888,0.009508926421403885,0.6911110877990723,0.522970974445343,0.45048052072525024,0.7063481211662292
Mixture NCA,5,25,0,44,0.02536824345588684,0.023256028071045876,0.48444437980651855,0.2449357807636261,0.18019220232963562,0.35218098759651184
Mixture NCA,5,25,0,45,0.0979425311088562,0.08521823585033417,0.6066666841506958,0.43029260635375977,0.24025627970695496,0.6316505074501038
Mixture NCA,5,25,0,46,0.03211268037557602,0.02882523648440838,0.7488888502120972,0.7215675711631775,0.500533938407898,0.8025524616241455
Mixture NCA,5,25,0,47,0.07949506491422653,0.06101670488715172,0.6666666269302368,0.7645968198776245,0.5706086754798889,0.8903328776359558
Mixture NCA,5,25,0,48,0.044261544942855835,0.04012371599674225,0.6066666841506958,0.5428306460380554,0.28029900789260864,0.5095689296722412
Mixture NCA,5,25,0,49,0.05243819206953049,0.043955978006124496,0.662222146987915,0.6884681582450867,0.3403630554676056,0.7359119653701782
Mixture NCA,5,25,0,50,0.05949058383703232,0.04957694932818413,0.6088888645172119,0.5560704469680786,0.4204484820365906,0.5915181636810303
Mixture NCA,5,25,0,51,0.02562132477760315,0.02420593611896038,0.5311111211776733,0.41374287009239197,0.3003203570842743,0.4377807676792145
Mixture NCA,5,25,0,52,0.04612736403942108,0.043027330189943314,0.713333249092102,0.43029260635375977,0.3403630554676056,0.4076511263847351
Mixture NCA,5,25,0,53,0.08392620086669922,0.06930509209632874,0.2822221517562866,0.05626903101801872,0.11011746525764465,0.0894763171672821
Mixture NCA,5,25,0,54,0.017338931560516357,0.016727475449442863,0.26888883113861084,0.17542697489261627,0.11011746525764465,0.16725270450115204
Mixture NCA,5,25,0,55,0.05363871902227402,0.04495006427168846,0.753333330154419,0.6222692728042603,0.5605980157852173,1.0139753818511963
Mixture NCA,5,25,0,56,0.07879280298948288,0.0607181154191494,0.915555477142334,1.0293922424316406,0.7508008480072021,1.1871188879013062
Mixture NCA,5,25,0,57,0.0780496895313263,0.061935167759656906,0.8622221946716309,0.9764332175254822,0.6006407141685486,1.0888357162475586
Mixture NCA,5,25,0,58,0.04195084422826767,0.03618105500936508,0.6555554866790771,0.5593803524971008,0.4705018699169159,0.8998278379440308
Mixture NCA,5,25,0,59,0.15719202160835266,0.09640093147754669,0.602222204208374,0.6520587801933289,0.4004271328449249,0.5902477502822876
Mixture NCA,5,25,0,60,0.034376323223114014,0.030181799083948135,0.7444443702697754,0.7281874418258667,0.4705018699169159,0.8119707107543945
Mixture NCA,5,25,0,61,0.0223076194524765,0.021764226257801056,0.5822222232818604,0.5097312331199646,0.250266969203949,0.5901281237602234
