Model Type,Neighborhood Size,Step Length,Evaluation,Simulation,KL Divergence,Chi-Square,Categorical MMD,Tumor Size Diff,Border Size Diff,Spatial Variance Diff
Mixture NCA,7,25,0,0,0.009992886334657669,0.009887476451694965,0.36888885498046875,0.14563749730587006,0.14014950394630432,0.14317281544208527
Mixture NCA,7,25,0,1,0.035226888954639435,0.0314905047416687,0.5399999618530273,0.32106447219848633,0.3003203570842743,0.4725063145160675
Mixture NCA,7,25,0,2,0.018568862229585648,0.018121134489774704,0.7977777719497681,0.7844564914703369,0.45048052072525024,0.737701416015625
Mixture NCA,7,25,0,3,0.009870616719126701,0.009773371741175652,0.29777777194976807,0.10922811925411224,0.0,0.08472045511007309
Mixture NCA,7,25,0,4,0.06471042335033417,0.059163205325603485,0.9199999570846558,0.9466437101364136,0.3804057836532593,0.9630510210990906
Mixture NCA,7,25,0,5,0.040488697588443756,0.035837914794683456,0.4222221374511719,0.2085264027118683,0.2602776288986206,0.265754759311676
Mixture NCA,7,25,0,6,0.12230663746595383,0.09480929374694824,0.415555477142334,0.12246789038181305,0.18019220232963562,0.2308788150548935
Mixture NCA,7,25,0,7,0.013149939477443695,0.012857758440077305,0.5399999618530273,0.483251690864563,0.46049121022224426,0.565939724445343
Mixture NCA,7,25,0,8,0.013509707525372505,0.013453797437250614,0.6488888263702393,0.5825499892234802,0.37039509415626526,0.6560501456260681
Mixture NCA,7,25,0,9,0.0354536734521389,0.030708028003573418,0.5199999809265137,0.37071362137794495,0.3003203570842743,0.4516453444957733
Mixture NCA,7,25,0,10,0.028756454586982727,0.027041355147957802,0.2777777910232544,0.14232754707336426,0.14014950394630432,0.1386728286743164
Mixture NCA,7,25,0,11,0.03184547275304794,0.02931656502187252,0.6911110877990723,0.4964914619922638,0.5405766367912292,0.8351779580116272
Mixture NCA,7,25,0,12,0.005898317322134972,0.00583927845582366,0.3444443941116333,0.17873692512512207,0.15016017854213715,0.20411770045757294
Mixture NCA,7,25,0,13,0.016507437452673912,0.01611894555389881,0.41111111640930176,0.20521646738052368,0.2702883183956146,0.22377744317054749
Mixture NCA,7,25,0,14,0.017217665910720825,0.016576949506998062,0.4022221565246582,0.12908777594566345,0.2202349305152893,0.1614820659160614
Mixture NCA,7,25,0,15,0.01911160722374916,0.01855853572487831,0.5533332824707031,0.36740368604660034,0.32034170627593994,0.43095195293426514
Mixture NCA,7,25,0,16,0.028899352997541428,0.02603871189057827,0.48222219944000244,0.2416258454322815,0.2102242410182953,0.3263445794582367
Mixture NCA,7,25,0,17,0.03956904262304306,0.03528068959712982,0.5666666030883789,0.37071362137794495,0.5105445981025696,0.488565057516098
Mixture NCA,7,25,0,18,0.029551265761256218,0.028464196249842644,0.6288888454437256,0.44353237748146057,0.37039509415626526,0.5740615129470825
Mixture NCA,7,25,0,19,0.045235857367515564,0.03974231332540512,0.40444445610046387,0.2350059598684311,0.250266969203949,0.3655620515346527
Mixture NCA,7,25,0,20,0.02238592505455017,0.02142675220966339,0.5488888025283813,0.39388322830200195,0.5205552577972412,0.4307222366333008
Mixture NCA,7,25,0,21,0.027521133422851562,0.026224680244922638,0.5199999809265137,0.17873692512512207,0.16017085313796997,0.2462954819202423
Mixture NCA,7,25,0,22,0.06111874431371689,0.05005631968379021,0.5866665840148926,0.4733218550682068,0.41043782234191895,0.5589409470558167
Mixture NCA,7,25,0,23,0.004960883408784866,0.004898710176348686,0.4599999189376831,0.39388322830200195,0.250266969203949,0.38440242409706116
Mixture NCA,7,25,0,24,0.023089982569217682,0.02219931222498417,0.47777771949768066,0.2548656165599823,0.1701815277338028,0.33475828170776367
Mixture NCA,7,25,0,25,0.021789126098155975,0.021391967311501503,0.5666666030883789,0.40381303429603577,0.23024560511112213,0.46495112776756287
Mixture NCA,7,25,0,26,0.03571522235870361,0.03312980383634567,0.8911111354827881,0.9433337450027466,0.6607047915458679,1.1529536247253418
Mixture NCA,7,25,0,27,0.00692312978208065,0.006735775154083967,0.7177777290344238,0.4667019546031952,0.5605980157852173,0.5853338241577148
Mixture NCA,7,25,0,28,0.016298772767186165,0.01654045283794403,0.6133333444595337,0.4700119197368622,0.4204484820365906,0.7069563269615173
Mixture NCA,7,25,0,29,0.028867293149232864,0.026143284514546394,0.47777771949768066,0.2085264027118683,0.3103310167789459,0.2678816020488739
Mixture NCA,7,25,0,30,0.022829914465546608,0.021826809272170067,0.49111104011535645,0.2780352234840393,0.4304591715335846,0.34405645728111267
Mixture NCA,7,25,0,31,0.046159278601408005,0.04193958640098572,0.5,0.33761417865753174,0.4805125594139099,0.5135959982872009
Mixture NCA,7,25,0,32,0.020455947145819664,0.018549876287579536,0.5866665840148926,0.39719316363334656,0.3503737449645996,0.5681607723236084
Mixture NCA,7,25,0,33,0.004353923723101616,0.004337213933467865,0.7755554914474487,0.6719184517860413,0.5605980157852173,0.7876420021057129
Mixture NCA,7,25,0,34,0.00976734608411789,0.009161088615655899,0.2733333110809326,0.003309943014755845,0.03003203496336937,0.02625305764377117
