Model Type,Neighborhood Size,Step Length,Evaluation,Simulation,KL Divergence,Chi-Square,Categorical MMD,Tumor Size Diff,Border Size Diff,Spatial Variance Diff
Mixture NCA,2,25,0,15,0.28141266107559204,0.12780185043811798,0.5977777242660522,0.5660002827644348,0.16017085313796997,0.4136192500591278
Mixture NCA,2,25,0,16,0.2292996048927307,0.12742727994918823,0.5199999809265137,0.5990996956825256,0.15016017854213715,0.49272453784942627
Mixture NCA,2,25,0,17,0.07114637643098831,0.05727994441986084,0.6644444465637207,0.5560704469680786,0.06006406992673874,0.3559318482875824
Mixture NCA,2,25,0,18,0.17135100066661835,0.11076472699642181,0.6933332681655884,0.7645968198776245,0.250266969203949,0.6559165716171265
Mixture NCA,2,25,0,19,0.1394728422164917,0.09097141772508621,0.5466666221618652,0.34423407912254333,0.28029900789260864,0.15261210501194
Mixture NCA,2,25,0,20,0.125733882188797,0.0909518301486969,0.602222204208374,0.618959367275238,0.4304591715335846,0.46194833517074585
Mixture NCA,2,25,0,21,0.054383859038352966,0.047256335616111755,0.6000000238418579,0.4534621834754944,0.03003203496336937,0.22098946571350098
Mixture NCA,2,25,0,22,0.21945831179618835,0.1274869740009308,0.6555554866790771,0.6586786508560181,0.1301388144493103,0.4968920350074768
Mixture NCA,2,25,0,23,0.203639954328537,0.12349753081798553,0.5222221612930298,0.5329008102416992,0.010010678321123123,0.22533901035785675
Mixture NCA,2,25,0,24,0.17098194360733032,0.1016039028763771,0.6000000238418579,0.42367270588874817,0.03003203496336937,0.25971508026123047
Mixture NCA,2,25,0,25,0.14366787672042847,0.08515415340662003,0.5755555629730225,0.5593803524971008,0.11011746525764465,0.3511510193347931
Mixture NCA,2,25,0,26,0.02525573968887329,0.023197241127490997,0.9311110973358154,1.0922812223434448,0.41043782234191895,1.1379497051239014
Mixture NCA,2,25,0,27,0.05022437870502472,0.043916601687669754,0.762222170829773,0.7546669840812683,0.15016017854213715,0.5826326012611389
Mixture NCA,2,25,0,28,0.09110397100448608,0.06971701979637146,0.6244443655014038,0.6950880289077759,0.16017085313796997,0.7302060127258301
Mixture NCA,2,25,0,29,0.3125663101673126,0.14430317282676697,0.5733332633972168,0.436912477016449,0.09009610116481781,0.27555328607559204
Mixture NCA,2,25,0,30,0.0936010330915451,0.06766502559185028,0.5577777624130249,0.4964914619922638,0.19020289182662964,0.38094764947891235
Mixture NCA,2,25,0,31,0.06261282414197922,0.05296604707837105,0.6222221851348877,0.5395207405090332,0.1301388144493103,0.4109528362751007
Mixture NCA,2,25,0,32,0.2457006424665451,0.1304597556591034,0.6822222471237183,0.6752283573150635,0.08008542656898499,0.5954494476318359
Mixture NCA,2,25,0,33,0.0863206759095192,0.062017135322093964,0.8733333349227905,0.963193416595459,0.3103310167789459,0.7918922901153564
Mixture NCA,2,25,0,34,0.18674078583717346,0.1008024588227272,0.3222222328186035,0.19859658181667328,0.250266969203949,0.11571679264307022
Mixture NCA,2,25,0,35,0.15788984298706055,0.11323311179876328,0.5,0.37402355670928955,0.010010678321123123,0.11718977987766266
Mixture NCA,2,25,0,36,0.21836966276168823,0.12668746709823608,0.36888885498046875,0.20190651714801788,0.11011746525764465,0.038307394832372665
Mixture NCA,2,25,0,37,0.15715225040912628,0.09373718500137329,0.6355555057525635,0.5163511037826538,0.1701815277338028,0.3461807370185852
Mixture NCA,2,25,0,38,0.13080525398254395,0.08921042829751968,0.41333329677581787,0.2912749946117401,0.32034170627593994,0.05353596806526184
Mixture NCA,2,25,0,39,0.07331033051013947,0.05842699110507965,0.6133333444595337,0.6355090737342834,0.14014950394630432,0.4562849998474121
Mixture NCA,2,25,0,40,0.09648287296295166,0.07371922582387924,0.5377777814865112,0.40381303429603577,0.010010678321123123,0.17417427897453308
Mixture NCA,2,25,0,41,0.28451594710350037,0.1365239918231964,0.7911111116409302,0.7844564914703369,0.3503737449645996,0.6626309156417847
Mixture NCA,2,25,0,42,0.11423318088054657,0.09244155883789062,0.8622221946716309,0.7712167501449585,0.10010678321123123,0.5926648378372192
Mixture NCA,2,25,0,43,0.18161991238594055,0.09618859738111496,0.7577776908874512,0.8175559043884277,0.2602776288986206,0.7812505960464478
Mixture NCA,2,25,0,44,0.09859873354434967,0.07933023571968079,0.5644444227218628,0.5924798250198364,0.10010678321123123,0.5528444051742554
Mixture NCA,2,25,0,45,0.10391030460596085,0.09004173427820206,0.662222146987915,0.7017078995704651,0.20021356642246246,0.6611815094947815
Mixture NCA,2,25,0,46,0.10976744443178177,0.07961549609899521,0.7777777910232544,0.8572752475738525,0.3003203570842743,0.6750859022140503
Mixture NCA,2,25,0,47,0.07652027904987335,0.06068555265665054,0.7244443893432617,0.8605852127075195,0.2602776288986206,0.6164143681526184
Mixture NCA,2,25,0,48,0.07504355907440186,0.06093747913837433,0.746666669845581,0.7546669840812683,0.04004271328449249,0.454604834318161
Mixture NCA,2,25,0,49,0.05907807499170303,0.0486372709274292,0.7444443702697754,0.8605852127075195,0.11011746525764465,0.6228511333465576
Mixture NCA,2,25,0,50,0.1344088613986969,0.09569429606199265,0.6911110877990723,0.7513570785522461,0.2102242410182953,0.49915996193885803
Mixture NCA,2,25,0,51,0.11345846205949783,0.07798110693693161,0.6888889074325562,0.5461406111717224,0.06006406992673874,0.2704111337661743
Mixture NCA,2,25,0,52,0.09352002292871475,0.07440518587827682,0.7955554723739624,0.7579769492149353,0.2903096675872803,0.46859630942344666
Mixture NCA,2,25,0,53,0.310343474149704,0.1606014221906662,0.3577777147293091,0.2978948652744293,0.04004271328449249,0.11904223263263702
Mixture NCA,2,25,0,54,0.10464237630367279,0.08728782087564468,0.3799999952316284,0.19859658181667328,0.250266969203949,0.09612367302179337
