Model Type,Neighborhood Size,Time Step,Mean Entropy,Std Entropy,N Samples
Mixture NCA,7,0,1.6281251907348633,0.015060384757816792,20
Mixture NCA,7,1,1.6002178192138672,0.022748691961169243,20
Mixture NCA,7,2,1.5620616674423218,0.031234147027134895,20
Mixture NCA,7,3,1.5140273571014404,0.039355821907520294,20
Mixture NCA,7,4,1.459078073501587,0.048937756568193436,20
Mixture NCA,7,5,1.4053637981414795,0.05609678104519844,20
Mixture NCA,7,6,1.3558481931686401,0.061612602323293686,20
Mixture NCA,7,7,1.312136173248291,0.06549496948719025,20
Mixture NCA,7,8,1.2728694677352905,0.06938521564006805,20
Mixture NCA,7,9,1.235825538635254,0.07636523991823196,20
Mixture NCA,7,10,1.2021154165267944,0.08429364114999771,20
Mixture NCA,7,11,1.1702576875686646,0.09443672001361847,20
Mixture NCA,7,12,1.139634370803833,0.10254032164812088,20
Mixture NCA,7,13,1.1101226806640625,0.10978487133979797,20
Mixture NCA,7,14,1.0822161436080933,0.12087229639291763,20
Mixture NCA,7,15,1.0564090013504028,0.13135060667991638,20
Mixture NCA,7,16,1.0334417819976807,0.14257581532001495,20
Mixture NCA,7,17,1.013808250427246,0.15154437720775604,20
Mixture NCA,7,18,0.9976323843002319,0.1593865156173706,20
Mixture NCA,7,19,0.9835556149482727,0.1674596071243286,20
Mixture NCA,7,20,0.9692319631576538,0.1757037192583084,20
Mixture NCA,7,21,0.9572544097900391,0.1826241910457611,20
Mixture NCA,7,22,0.9484872817993164,0.18745627999305725,20
Mixture NCA,7,23,0.9416959881782532,0.19022512435913086,20
Mixture NCA,7,24,0.9370037317276001,0.19217616319656372,20
Mixture NCA,7,25,0.9337933659553528,0.19354626536369324,20
Mixture NCA,7,26,0.9308297038078308,0.19519203901290894,20
Mixture NCA,7,27,0.9286069869995117,0.19616618752479553,20
Mixture NCA,7,28,0.9266314506530762,0.19753189384937286,20
Mixture NCA,7,29,0.9252731204032898,0.1982802450656891,20
Mixture NCA,7,30,0.9236677885055542,0.19832901656627655,20
Mixture NCA,7,31,0.9219391942024231,0.19879911839962006,20
Mixture NCA,7,32,0.9207043647766113,0.19885511696338654,20
Mixture NCA,7,33,0.9190990328788757,0.20001517236232758,20
Mixture NCA,7,34,0.9179877042770386,0.2003454864025116,20
Mixture NCA,7,35,0.9171233177185059,0.20094457268714905,20
Mixture NCA,7,36,0.9165059328079224,0.20165902376174927,20
Mixture NCA,7,37,0.9158886075019836,0.20237059891223907,20
Mixture NCA,7,38,0.9147771596908569,0.2027411311864853,20
Mixture NCA,7,39,0.9147771596908569,0.203191876411438,20
Mixture NCA,7,40,0.9145301580429077,0.2036067098379135,20
Mixture NCA,7,41,0.9139128923416138,0.2040531039237976,20
Mixture NCA,7,42,0.9135424494743347,0.20437031984329224,20
Mixture NCA,7,43,0.9131719470024109,0.20467296242713928,20
Mixture NCA,7,44,0.9128014445304871,0.20523466169834137,20
Mixture NCA,7,45,0.9118137359619141,0.2058032751083374,20
Mixture NCA,7,46,0.911196231842041,0.20624268054962158,20
Mixture NCA,7,47,0.9114433526992798,0.20563261210918427,20
Mixture NCA,7,48,0.9107022285461426,0.20585110783576965,20
Mixture NCA,7,49,0.9100849032402039,0.20620578527450562,20
Mixture NCA,7,50,0.9094675779342651,0.2065417468547821,20
Mixture NCA,7,51,0.9089735746383667,0.2063387930393219,20
Mixture NCA,7,52,0.9088500738143921,0.20627601444721222,20
Mixture NCA,7,53,0.9084796905517578,0.20632962882518768,20
Mixture NCA,7,54,0.908726692199707,0.20611846446990967,20
Mixture NCA,7,55,0.908726692199707,0.20639199018478394,20
Mixture NCA,7,56,0.9083563089370728,0.20648375153541565,20
Mixture NCA,7,57,0.908726692199707,0.2064274400472641,20
Mixture NCA,7,58,0.9083563089370728,0.20638182759284973,20
Mixture NCA,7,59,0.9083561897277832,0.20642024278640747,20
Mixture NCA,7,60,0.9083561897277832,0.20654578506946564,20
Mixture NCA,7,61,0.9079858660697937,0.2062143236398697,20
Mixture NCA,7,62,0.9079858660697937,0.20648327469825745,20
Mixture NCA,7,63,0.9079858064651489,0.2068418562412262,20
Mixture NCA,7,64,0.9077388644218445,0.2067890763282776,20
Mixture NCA,7,65,0.9076153635978699,0.20650725066661835,20
Mixture NCA,7,66,0.9081093072891235,0.2067604959011078,20
Mixture NCA,7,67,0.9077388644218445,0.2068377286195755,20
Mixture NCA,7,68,0.9077386856079102,0.20619097352027893,20
Mixture NCA,7,69,0.907244861125946,0.20696714520454407,20
Mixture NCA,7,70,0.9065039753913879,0.2077527493238449,20
Mixture NCA,7,71,0.9063805341720581,0.20757728815078735,20
Mixture NCA,7,72,0.9057630300521851,0.2077004611492157,20
Mixture NCA,7,73,0.9052692651748657,0.20781144499778748,20
Mixture NCA,7,74,0.9051457643508911,0.20691148936748505,20
Mixture NCA,7,75,0.9046518206596375,0.2075759768486023,20
Mixture NCA,7,76,0.9045283198356628,0.2074095904827118,20
Mixture NCA,7,77,0.9031699895858765,0.2077345848083496,20
Mixture NCA,7,78,0.9027994871139526,0.20795229077339172,20
Mixture NCA,7,79,0.9025527238845825,0.20771606266498566,20
Mixture NCA,7,80,0.9021822214126587,0.20709653198719025,20
Mixture NCA,7,81,0.9019352197647095,0.2076619267463684,20
Mixture NCA,7,82,0.9010708928108215,0.20779943466186523,20
Mixture NCA,7,83,0.9014413952827454,0.20769335329532623,20
Mixture NCA,7,84,0.9015647768974304,0.20757949352264404,20
Mixture NCA,7,85,0.9011943936347961,0.2079969197511673,20
Mixture NCA,7,86,0.9010708928108215,0.2077334076166153,20
Mixture NCA,7,87,0.9007003903388977,0.20792388916015625,20
Mixture NCA,7,88,0.9009473919868469,0.20757821202278137,20
Mixture NCA,7,89,0.9013177752494812,0.20776745676994324,20
Mixture NCA,7,90,0.901070773601532,0.20791682600975037,20
Mixture NCA,7,91,0.9011943936347961,0.20783410966396332,20
Mixture NCA,7,92,0.9010708928108215,0.2077363282442093,20
Mixture NCA,7,93,0.9009473919868469,0.20777498185634613,20
Mixture NCA,7,94,0.9008238911628723,0.20773577690124512,20
Mixture NCA,7,95,0.9009473919868469,0.20794811844825745,20
Mixture NCA,7,96,0.9009472727775574,0.207755908370018,20
Mixture NCA,7,97,0.901070773601532,0.20784494280815125,20
Mixture NCA,7,98,0.9013177752494812,0.20779390633106232,20
Mixture NCA,7,99,0.9008238911628723,0.20812588930130005,20
Mixture NCA,7,100,0.9008238911628723,0.20792505145072937,20
Stochastic Mixture NCA,7,0,1.7511441707611084,0.012090240605175495,20
Stochastic Mixture NCA,7,1,1.7287406921386719,0.018262356519699097,20
Stochastic Mixture NCA,7,2,1.6981093883514404,0.025074347853660583,20
Stochastic Mixture NCA,7,3,1.6595481634140015,0.03159431368112564,20
Stochastic Mixture NCA,7,4,1.6154358386993408,0.039286524057388306,20
Stochastic Mixture NCA,7,5,1.5723152160644531,0.04503367468714714,20
Stochastic Mixture NCA,7,6,1.5325652360916138,0.04946163296699524,20
Stochastic Mixture NCA,7,7,1.4974743127822876,0.05257835611701012,20
Stochastic Mixture NCA,7,8,1.465951681137085,0.05570140853524208,20
Stochastic Mixture NCA,7,9,1.4362133741378784,0.06130485609173775,20
Stochastic Mixture NCA,7,10,1.4091516733169556,0.0676695704460144,20
Stochastic Mixture NCA,7,11,1.3835768699645996,0.07581226527690887,20
Stochastic Mixture NCA,7,12,1.3589932918548584,0.08231768012046814,20
Stochastic Mixture NCA,7,13,1.3352028131484985,0.08817580342292786,20
Stochastic Mixture NCA,7,14,1.3126016855239868,0.09712305665016174,20
Stochastic Mixture NCA,7,15,1.291487693786621,0.10598798841238022,20
Stochastic Mixture NCA,7,16,1.2720586061477661,0.11601774394512177,20
Stochastic Mixture NCA,7,17,1.2550088167190552,0.12494772672653198,20
Stochastic Mixture NCA,7,18,1.2398422956466675,0.1337365210056305,20
Stochastic Mixture NCA,7,19,1.225667119026184,0.14315135776996613,20
